"id","name","effect","short_effect"
"13","cloud nine","While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.","Negates all effects of weather, but does not prevent the weather itself."
"14","compound eyes","This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.","Increases moves' accuracy to 1.3×."
"15","insomnia","This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to vital spirit in battle.","Prevents sleep."
"16","color change","Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.","Changes type to match when hit by a damaging move."
"17","immunity","This Pokémon cannot be poisoned.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.","Prevents poison."
"18","flash fire","This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.","Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
"19","shield dust","This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.","Protects against incoming moves' extra effects."
"20","own tempo","This Pokémon cannot be confused.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.","Prevents confusion."
"21","suction cups","This Pokémon cannot be forced out of battle by moves such as whirlwind.

dragon tail and circle throw still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.","Prevents being forced out of battle by other Pokémon's moves."
"22","intimidate","When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a substitute.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.","Lowers opponents' Attack one stage upon entering battle."
"23","shadow tag","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.","Prevents opponents from fleeing or switching out."
"24","rough skin","Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to iron barbs.","Damages attacking Pokémon for 1/8 their max HP on contact."
"25","wonder guard","This Pokémon is immune to damaging moves that are not super effective against it.

Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.

This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.","Protects against damaging moves that are not super effective."
"26","levitate","This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.

This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.","Evades ground moves."
"27","effect spore","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.","Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
"28","synchronize","Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.","Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
"29","clear body","This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to white smoke in battle.","Prevents stats from being lowered by other Pokémon."
"30","natural cure","This Pokémon is cured of any major status ailment when it is switched out for another Pokémon.

If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.","Cures any major status ailment upon switching out."
"31","lightning rod","All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
"32","serene grace","This Pokémon's moves have twice their usual effect chance.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected.

secret power is unaffected.","Doubles the chance of moves' extra effects occurring."
"33","swift swim","This Pokémon's Speed is doubled during rain.

This bonus does not count as a stat modifier.","Doubles Speed during rain."
"34","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","Doubles Speed during strong sunlight."
"35","illuminate","Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.

This ability has no effect in battle.","Doubles the wild encounter rate."
"36","trace","When this Pokémon enters battle, it copies a random opponent's ability.

This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode.","Copies an opponent's ability upon entering battle."
"37","huge power","This Pokémon's Attack is doubled while in battle.

This bonus does not count as a stat modifier.

This ability functions identically to pure power.","Doubles Attack in battle."
"38","poison point","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.","Has a 30% chance of poisoning attacking Pokémon on contact."
"39","inner focus","This Pokémon cannot flinch.","Prevents flinching."
"40","magma armor","This Pokémon cannot be frozen.

If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or flame body.","Prevents freezing."
"41","water veil","This Pokémon cannot be burned.

If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.","Prevents burns."
"42","magnet pull","While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.","Prevents steel opponents from fleeing or switching out."
"43","soundproof","This Pokémon is immune to moves flagged as being sound-based.

heal bell is unaffected.  uproar still prevents this Pokémon from sleeping.  This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

howl, roar of time, sonic boom, and yawn are not flagged as sound-based.","Protects against sound-based moves."
"44","rain dish","This Pokémon heals for 1/16 of its maximum HP after each turn during rain.","Heals for 1/16 max HP after each turn during rain."
"45","sand stream","The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.","Summons a sandstorm that lasts indefinitely upon entering battle."
"46","pressure","Moves targetting this Pokémon use one extra PP.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Increases the PP cost of moves targetting the Pokémon by one."
"47","thick fat","This Pokémon takes half as much damage from fire- and ice-type moves.","Halves damage from fire and ice moves."
"48","early bird","This Pokémon's remaining sleep turn count falls by 2 rather than 1.

If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up.","Makes sleep pass twice as quickly."
"49","flame body","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or magma armor.","Has a 30% chance of burning attacking Pokémon on contact."
"50","run away","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.","Ensures success fleeing from wild battles."
"51","keen eye","This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.","Prevents accuracy from being lowered."
"52","hyper cutter","This Pokémon's Attack cannot be lowered by other Pokémon.

This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn.  This Pokémon can still be passed negative Attack modifiers through heart swap or power swap.","Prevents Attack from being lowered by other Pokémon."
"53","pickup","At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The air balloon and eject button cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.","Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle."
"54","truant","Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do.  Most such moves, for example bide or rollout, are simply cut off upon loafing around.  Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual.

If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap.","Skips every second turn."
"55","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
"56","cute charm","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated.

Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.","Has a 30% chance of infatuating attacking Pokémon on contact."
"57","plus","This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.","Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus."
"58","minus","This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.","Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus."
"59","forecast","During rain, strong sunlight, or hail, this Pokémon's type changes to water, fire, or ice, respectively, and its form changes to match.

This ability has no effect for any Pokémon other than castform.

If the weather ends or becomes anything that does not trigger this ability, or a Pokémon with air lock or cloud nine enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability.","Changes castform's type and form to match the weather."
"60","sticky hold","This Pokémon's hold item cannot be removed by other Pokémon.

Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. knock off or pluck.  This Pokémon can still use moves that involve the loss of its own item, e.g. fling or trick.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.","Prevents a held item from being removed by other Pokémon."
"61","shed skin","After each turn, this Pokémon has a 33% of being cured of any major status ailment.","Has a 33% chance of curing any major status ailment after each turn."
"62","guts","Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a stat modifier.","Increases Attack to 1.5× with a major status ailment."
"63","marvel scale","Whenever this Pokémon has a major status ailment, it has 1.5× its Defense.

This bonus does not count as a stat modifier.","Increases Defense to 1.5× with a major status ailment."
"64","liquid ooze","Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain.

dream eater is unaffected.","Damages opponents using leeching moves for as much as they would heal."
"65","overgrow","When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.","Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less."
"66","blaze","When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.","Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less."
"67","torrent","When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.","Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less."
"68","swarm","When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.","Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less."
"69","rock head","This Pokémon does not receive recoil damage from its recoil moves.

struggle's recoil is unaffected.  This ability does not prevent crash damage from missing with jump kick or high jump kick.","Protects against recoil damage."
"70","drought","The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.","Summons strong sunlight that lasts indefinitely upon entering battle."
"71","arena trap","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.","Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air."
"72","vital spirit","This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to insomnia in battle.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Prevents sleep."
"73","white smoke","This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis; nor self-inflicted stat drops, such as the Special Attack drop from overheat; nor opponent-triggered stat boosts, such as the Attack boost from swagger.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to clear body in battle.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.","Prevents stats from being lowered by other Pokémon."
"74","pure power","This Pokémon's Attack is doubled in battle.

This bonus does not count as a stat modifier.

This ability functions identically to huge power.","Doubles Attack in battle."
"75","shell armor","Moves cannot score critical hits against this Pokémon.

This ability functions identically to battle armor.","Protects against critical hits."
"76","air lock","While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to cloud nine.","Negates all effects of weather, but does not prevent the weather itself."
"77","tangled feet","When this Pokémon is confused, it has twice its evasion.","Doubles evasion when confused."
"78","motor drive","Whenever an electric-type move hits this Pokémon, its Speed rises one stage, negating any other effect on it.

This ability will not take effect if this Pokémon is immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.","Absorbs electric moves, raising Speed one stage."
"79","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
"80","steadfast","Whenever this Pokémon flinches, its Speed rises one stage.","Raises Speed one stage upon flinching."
"81","snow cloak","During hail, this Pokémon has 1.25× its evasion, and it does not take hail damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow.","Increases evasion to 1.25× during hail.  Protects against hail damage."
"82","gluttony","This Pokémon eats any held Berry triggered by low HP when it falls below 50% of its HP, regardless of the Berry's usual threshold.","Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP."
"83","anger point","Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages.

This ability will still take effect if the critical hit is received by a substitute.","Raises Attack to the maximum of six stages upon receiving a critical hit."
"84","unburden","When this Pokémon uses or loses its held item, its Speed is doubled.  If it gains another item or leaves battle, this bonus is lost.

This includes when the Pokémon drops its item because of knock off.  This bonus does not count as a stat modifier.  There is no notification when this ability takes effect.","Doubles Speed upon using or losing a held item."
"85","heatproof","This Pokémon takes half as much damage from fire-type moves and burns.","Halves damage from fire moves and burns."
"86","simple","Each stage of this Pokémon's stat modifiers acts as two stages.  These doubled stages are still limited to a minimum of -6 and a maximum of 6.

This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.","Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages."
"87","dry skin","This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain.  This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.","Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
"88","download","When this Pokémon enters battle, its Attack or Special Attack, whichever corresponds to its opponents' weaker total defensive stat, rises one stage.  In the event of a tie, Special Attack is raised.

This ability also takes effect when acquired during a battle.","Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle."
"89","iron fist","Moves flagged as being punch-based have 1.2× their base power for this Pokémon.

sucker punch is not flagged as punch-based; its original, Japanese name only means ""surprise attack"".","Strengthens punch-based moves to 1.2× their power."
"90","poison heal","If this Pokémon is poisoned, it will heal for 1/8 of its maximum HP after each turn rather than taking damage.  This includes bad poison.","Heals for 1/8 max HP after each turn when poisoned in place of damage."
"91","adaptability","This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual same-type attack bonus of 1.5×.","Increases the same-type attack bonus from 1.5× to 2×."
"92","skill link","This Pokémon always hits five times with two-to-five-hit moves, such as icicle spear.  It also bypasses the accuracy checks on triple kick's second and third hits.","Extends two-to-five-hit moves and triple kick to their full length every time."
"93","hydration","This Pokémon is cured of any major status ailment after each turn during rain.","Cures any major status ailment after each turn during rain."
"94","solar power","During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.","Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight."
"95","quick feet","Whenever this Pokémon has a major status ailment, it has 1.5× its Speed.  This Pokémon is not affected by the usual Speed cut from paralysis.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.","Increases Speed to 1.5× with a major status ailment."
"96","normalize","This Pokémon's moves all act as if they were normal-type.

Moves that inflict typeless damage do so as usual.  Moves of variable type, such as hidden power, are affected.  They otherwise work as usual, however; weather ball, for example, is always forced to be Normal, but it still has doubled power and looks different during weather.

As thunder wave is prevented by immunities, unlike most non-damaging moves, it does not affect ghost-type Pokémon under the effect of this ability.","Makes the Pokémon's moves all act normal-type."
"97","sniper","This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.","Strengthens critical hits to inflict 3× damage rather than 2×."
"98","magic guard","This Pokémon is immune to damage not directly caused by a move.

For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon.

The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion.

This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze.

If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.","Protects against damage not directly caused by a move."
"99","no guard","Moves used by or against this Pokémon never miss.

One-hit KO moves are unaffected.  Moves affected by this ability can hit Pokémon during the preparation turn of moves like dig or fly.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.","Ensures all moves used by and against the Pokémon hit."
"100","stall","This Pokémon moves last within its priority bracket.

Multiple Pokémon with this ability move in order of Speed amongst themselves.

The full incense and lagging tail take precedence over this ability; that is, Pokémon with these items move after Pokémon with this ability.  Pokémon with both this ability and one of these items are delayed as much as if they had only the item.

This ability works as usual during trick room: Pokémon with this ability will move in reverse order of Speed after Pokémon without it.","Makes the Pokémon move last within its move's priority bracket."
"101","technician","This Pokémon's moves have 1.5× their power if their base power is 60 or less.

This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less.  helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.","Strengthens moves of 60 base power or less to 1.5× their power."
"102","leaf guard","This Pokémon cannot be given a major status ailment during strong sunlight.

This ability does not heal prior status ailments.  rest will fail altogether with this ability in effect.  yawn will immediately fail if used on this Pokémon during strong sunlight, and an already-used Yawn will fail if the weather turns to strong sunlight in the meantime.","Protects against major status ailments during strong sunlight."
"103","klutz","In battle, this Pokémon cannot use its held item, nor will the item have any passive effect on the battle, positive or negative.  This Pokémon also cannot use fling.

The Speed cut from the iron ball and the effort items (the macho brace, power weight, power bracer, power belt, power lens, power band, and power anklet) is unaffected.  Items that do not directly affect the battle, such as the exp share, the amulet coin, or the soothe bell, work as usual.  All held items work as usual out of battle.

Other moves that use the held item, such as natural gift and switcheroo, work as usual.","Prevents the Pokémon from using its held item in battle."
"104","mold breaker","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to teravolt and turboblaze.","Bypasses targets' abilities if they could hinder or prevent a move."
"105","super luck","This Pokémon's moves have critical hit rates one stage higher than normal.","Raises moves' critical hit rates one stage."
"106","aftermath","When this Pokémon is knocked out by a move that makes contact, the move's user takes 1/4 its maximum HP in damage.","Damages the attacker for 1/4 its max HP when knocked out by a contact move."
