"id","name","cost","effect","healing","can_revive","statistic","stat_increase_time","top_capture_rate","min_capture_rate","quick_sell_price","collector_price","move"
"18","antidote","200","Used on a party Pokémon:   Cures poison.",,"false",,,,,,,""
"385","tm81","1000","Teaches X-Scissor to a compatible Pokémon.",,"false",,,,,,,"x scissor"
"45","hp up","10000","Used on a party Pokémon:   Increases HP effort by 10, but won't increase it beyond 100.  Increases happiness by 5/3/2.",,"false",,,,,,,""
"133","persim berry","80","Held in battle:   When the holder is confused, it consumes this item to cure the confusion.Used on a party Pokémon:   Cures confusion.",,"false",,,,,,,""
"20","ice heal","200","Used on a party Pokémon:   Cures freezing.",,"false",,,,,,,""
"529","wailmer pail","0","Waters Berry plants.",,"false",,,,,,,""
"219","magnet","1000","Held: Increases the power of the holder's Electric moves by 20%.",,"false",,,,,,,""
"506","data card 21","0","Records the number of times the trainer has come in first across all Pokéathlon events.",,"false",,,,,,,""
"373","tm69","1000","Teaches Rock Polish to a compatible Pokémon.",,"false",,,,,,,"rock polish"
"368","tm64","1000","Teaches Explosion to a compatible Pokémon.",,"false",,,,,,,"explosion"
"222","poison barb","1000","Held: Increases the power of the holder's Poison moves by 20%.",,"false",,,,,,,""
"423","good rod","0","Used to find Pokémon on the Good Rod list for an area, which are generally mediocre.",,"false",,,,,,,""
"317","tm13","10000","Teaches Ice Beam to a compatible Pokémon.",,"false",,,,,,,"ice beam"
"388","tm84","1000","Teaches Poison Jab to a compatible Pokémon.",,"false",,,,,,,"poison jab"
"160","belue berry","20","No effect; only useful for planting and cooking.",,"false",,,,,,,""
"409","point card","0","Tracks Battle Points.",,"false",,,,,,,""
"100","claw fossil","7000","Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a anorith.",,"false",,,,,,,""
"290","iron plate","1000","Held: Increases the power of the holder's Steel moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Steel.",,"false",,,,,,,""
"138","mago berry","80","Held in battle:   When the holder has 1/2 its max HP remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes sweet flavors (i.e., has a nature that lowers Speed), it will also become confused.",,"false",,,,,,,""
"371","tm67","30000","Teaches Recycle to a compatible Pokémon.",,"false",,,,,,,"recycle"
"335","tm31","1000","Teaches Brick Break to a compatible Pokémon.",,"false",,,,,,,"mimic"
"452","heavy ball","0","Used by a trainer in battle:   Attempts to catch a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.    If the wild Pokémon weighs:    * 409.6 kg (903.0 lb) or more, its catch rate is 40 more than normal.    * 307.2 kg (677.3 lb) or more, its catch rate is 30 more than normal.    * 204.8 kg (451.5 lb) or more, its catch rate is 20 more than normal.    * less than 204.8 kg (451.5 lb), its catch rate is 20 less than normal.",,"false",,,"8","0",,,""
"528","acro bike","0","Increases movement speed outside or in caves.  Slower than the mach bike.  Can perform various tricks, allowing the trainer to reach certain special areas.",,"false",,,,,,,""
"396","tm92","100000","Teaches Trick Room to a compatible Pokémon.",,"false",,,,,,,"trick room"
"182","apicot berry","80","Held in battle:   When the holder has 1/4 its max HP remaining or less, it consumes this item to raise its Special Defense by one stage.",,"false",,,,,,,""
"281","toxic plate","1000","Held: Increases the power of the holder's Poison moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Poison.",,"false",,,,,,,""
"480","machine part","0","Must be replaced in the power plant to power the Magnet Train.",,"false",,,,,,,""
"7","dive ball","1000","Used in battle:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"5","1",,,""
"99","root fossil","7000","Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a lileep.",,"false",,,,,,,""
"303","razor claw","5000","Held: Raises the holder's critical hit counter by 1.Held by Sneasel: Evolves the holder into Weavile when it levels up during the night.",,"false",,,,,,,""
"309","tm05","50000","Teaches Roar to a compatible Pokémon.",,"false",,,,,,,"mega kick"
"50","rare candy","10000","Used on a party Pokémon:   Increases level by 1.  Increases happiness by 5/3/2.",,"false",,,,,,,""
"236","stick","1000","Held by Farfetch'd: Raises the holder's critical hit counter by 2.",,"false",,,,,,,""
"168","shuca berry","80","Held in battle:   When the holder would take super-effective ground-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"556","mysticticket","0","Provides access to Navel Rock, ho oh, and lugia.",,"false",,,,,,,""
"180","salac berry","80","Held in battle:   When the holder has 1/4 its max HP remaining or less, it consumes this item to raise its Speed by one stage.",,"false",,,,,,,""
"489","data card 04","0","Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.",,"false",,,,,,,""
"446","apricorn box","0","Stores Apricorns.",,"false",,,,,,,""
"68","black flute","20","Used outside of battle:   Decreases the wild Pokémon encounter rate by 50%.",,"false",,,,,,,""
"131","leppa berry","80","Held in battle:   When the holder is out of PP for one of its moves, it consumes this item to restore 10 of that move's PP.Used on a party Pokémon:   Restores 10 PP for a selected move.",,"false",,,,,,,""
"148","qualot berry","80","Used on a party Pokémon:   Increases happiness by 10/5/2.  Lowers Defense effort by 10.",,"false",,,,,,,""
"561","magma emblem","0","Provides access to the magma hideout in the jagged pass.",,"false",,,,,,,""
"85","leaf stone","3000","Used on a party Pokémon:   Evolves an exeggcute into exeggutor, a gloom into vileplume, a nuzleaf into shiftry, a pansage into simisage, or a weepinbell into victreebel.",,"false",,,,,,,""
"507","data card 22","0","Records the number of times the trainer has come in last across all Pokéathlon events.",,"false",,,,,,,""
"393","tm89","20000","Teaches U-Turn to a compatible Pokémon.",,"false",,,,,,,"u turn"
"325","tm21","1000","Teaches Frustration to a compatible Pokémon.",,"false",,,,,,,"mega drain"
"346","tm42","1000","Teaches Facade to a compatible Pokémon.",,"false",,,,,,,"dream eater"
"350","tm46","30000","Teaches Thief to a compatible Pokémon.",,"false",,,,,,,"psywave"
"361","tm57","1000","Teaches Charge Beam to a compatible Pokémon.",,"false",,,,,,,"charge beam"
"291","odd incense","2000","Held: Increases the power of the holder's Psychic moves by 20%.",,"false",,,,,,,""
"486","data card 01","0","Records the number of times the trainer has come in first place overall in the Pokéathlon.",,"false",,,,,,,""
"487","data card 02","0","Records the number of times the trainer has come in last place overall in the Pokéathlon.",,"false",,,,,,,""
"310","tm06","1000","Teaches Toxic to a compatible Pokémon.",,"false",,,,,,,"toxic"
"93","heart scale","100","Trade one to the Move Relearner near the shore in pastoria city or with the Move Deleter in blackthorn city to teach one party Pokémon a prior level-up move.",,"false",,,,,,,""
"362","tm58","1000","Teaches Endure to a compatible Pokémon.",,"false",,,,,,,"endure"
"405","explorer kit","0","Sends the trainer to the Underground.  Only usable outside.",,"false",,,,,,,""
"483","mystery egg","0","Must be obtained to trigger the break-in at Professor Elm's lab, the first rival battle, and access to johto route 31.",,"false",,,,,,,""
"505","data card 20","0","Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.",,"false",,,,,,,""
"84","water stone","3000","Used on a party Pokémon:   Evolves an eevee into vaporeon, a lombre into ludicolo, a panpour into simipour, a poliwhirl into poliwrath, a shellder into cloyster, or a staryu into starmie.",,"false",,,,,,,""
"436","parcel","0","Given to the trainer's rival in Jubilife City.  Contains two Town Maps, one of which is given to the trainer upon delivery.",,"false",,,,,,,""
"419","town map","0","Displays a map of the region including the trainer's position, location names, visited towns, gym locations, and where the trainer has been walking recently.",,"false",,,,,,,""
"196","mental herb","4000","Held in battle:   When the holder is attracted, it consumes this item to cure the attraction.",,"false",,,,,,,""
"89","big pearl","8000","Vendor trash.",,"false",,,,,"1","7500",""
"213","light ball","1000","Held by Pikachu: Doubles the holder's initial Attack and Special Attack.",,"false",,,,,,,""
"232","lax incense","5000","Held: Increases the holder's Evasion by 5%.",,"false",,,,,,,""
"424","super rod","0","Used to find Pokémon on the Super Rod list for an area, which are generally the best available there.",,"false",,,,,,,""
"491","data card 06","0","Records the number of times the trainer has come in first in the Pokéathlon Relay Run.",,"false",,,,,,,""
"464","black apricorn","200","May be given to Kurt in azalea town to produce a heavy ball.",,"false",,,,,,,""
"432","azure flute","0","",,"false",,,,,,,""
"412","fashion case","0","Contains Pokémon Accessories.",,"false",,,,,,,""
"175","colbur berry","80","Held in battle:   When the holder would take super-effective dark-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"516","harbor mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"292","rock incense","2000","Held: Increases the power of the holder's Rock moves by 20%.",,"false",,,,,,,""
"92","nugget","10000","Vendor trash.",,"false",,,,,"1","10000",""
"562","old sea map","0","Provides access to Faraway Island and mew.",,"false",,,,,,,""
"242","wide lens","4000","Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).",,"false",,,,,,,""
"69","white flute","20","Used outside of battle:   Doubles the wild Pokémon encounter rate.",,"false",,,,,,,""
"109","dawn stone","3000","Used on a party Pokémon:   Evolves a male kirlia into gallade or a female snorunt into froslass.",,"false",,,,,,,""
"472","blue card","0","Allows the trainer to answer the daily question on Buena's radio show.  Records the points earned for correct answers.",,"false",,,,,,,""
"502","data card 17","0","Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.",,"false",,,,,,,""
"523","tropic mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"208","lucky egg","10000","Held: Increases any Exp the holder gains by 50%.",,"false",,,,,,,""
"533","letter","0","Contains a letter to be delivered to Steven.",,"false",,,,,,,""
"324","tm20","100000","Teaches Safeguard to a compatible Pokémon.",,"false",,,,,,,"rage"
"114","grass mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"430","lunar wing","0","Cures the sailor's son of his nightmares; no reward, only a side effect of seeing Cresselia.",,"false",,,,,,,""
"125","brick mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"508","data card 23","0","Records the number of times the trainer has switched Pokémon in the Pokéathlon.",,"false",,,,,,,""
"337","tm33","10000","Teaches Reflect to a compatible Pokémon.",,"false",,,,,,,"reflect"
"299","electirizer","2000","Held by Electabuzz: Evolves the holder into Electivire when traded.",,"false",,,,,,,""
"448","squirt bottle","0","Required to water berries within the berry pots.Required to battle the sudowoodo on johto route 36.This item cannot be directly used from the bag.",,"false",,,,,,,""
"108","dusk stone","3000","Used on a party Pokémon:   Evolves a lampent into chandelure, a misdreavus into mismagius, or a murkrow into honchkrow.",,"false",,,,,,,""
"379","tm75","1000","Teaches Swords Dance to a compatible Pokémon.",,"false",,,,,,,"swords dance"
"433","ss ticket","0","Allows passage on a ferry.The same item is used for different ferries between different games.",,"false",,,,,,,""
"403","hm07","0","Teaches Waterfall to a compatible Pokémon.",,"false",,,,,,,"waterfall"
"438","coupon 2","0","One of three coupons needed to receive a Pokétch.",,"false",,,,,,,""
"130","aspear berry","80","Held in battle:   When the holder is frozen, it consumes this item to thaw itself.Used on a party Pokémon:   Cures freezing.",,"false",,,,,,,""
"375","tm71","50000","Teaches Stone Edge to a compatible Pokémon.",,"false",,,,,,,"stone edge"
"51","pp up","10000","Used on a party Pokémon:   Increases a selected move's max PP by 20% its original max PP, to a maximum of 1.6×.  Increases happiness by 5/3/2.",,"false",,,,,,,""
"484","gb sounds","0","Used by trainer outside of battle:   Changes the background music to the equivalent 8-bit music.",,"false",,,,,,,""
"52","zinc","10000","Used on a party Pokémon:   Increases Special Defense effort by 10, but won't increase it beyond 100.  Increases happiness by 5/3/2.",,"false",,,,,,,""
"319","tm15","1000","Teaches Hyper Beam to a compatible Pokémon.",,"false",,,,,,,"hyper beam"
"288","draco plate","1000","Held: Increases the power of the holder's Dragon moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Dragon.",,"false",,,,,,,""
"199","silver powder","1000","Held in battle:   Holder's bug-type moves have 1.2× their power.",,"false",,,,,,,""
"202","soul dew","0","Held by Latias or Latios: Increases the holder's Special Attack and Special Defense by 50%.",,"false",,,,,,,""
"363","tm59","100000","Teaches Dragon Pulse to a compatible Pokémon.",,"false",,,,,,,"dragon pulse"
"330","tm26","1000","Teaches Earthquake to a compatible Pokémon.",,"false",,,,,,,"earthquake"
"482","rainbow wing","0","Causes ho oh to appear at the top of bell tower.",,"false",,,,,,,""
"226","charcoal","1000","Held: Increases the power of the holder's Fire moves by 20%.",,"false",,,,,,,""
"117","bloom mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"32","lemonade","400","Used on a party Pokémon:   Restores 80 HP.","80","false",,,,,,,""
"406","loot sack","0","Unused.",,"false",,,,,,,""
"26","super potion","700","Used on a party Pokémon:   Restores 50 HP.","50","false",,,,,,,""
"306","tm02","1000","Teaches Dragon Claw to a compatible Pokémon.",,"false",,,,,,,"razor wind"
"129","rawst berry","80","Held in battle:   When the holder is burned, it consumes this item to cure the burn.Used on a party Pokémon:   Cures a burn.",,"false",,,,,,,""
"247","life orb","4000","Held: Damage from the holder's moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage.",,"false",,,,,,,""
"254","metronome","4000","Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%.",,"false",,,,,,,""
"237","red scarf","100","Held: Increases the holder's Coolness during a Super Contest's Visual Competition.",,"false",,,,,,,""
"218","black belt","1000","Held: Increases the power of the holder's Fighting moves by 20%.",,"false",,,,,,,""
"509","data card 24","0","Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.",,"false",,,,,,,""
"210","metal coat","2000","Held: Increases the power of the holder's Steel moves by 20%.Held by Onix or Scyther: Evolves the holder into Steelix or Scizor when traded, respectively.",,"false",,,,,,,""
"336","tm32","10000","Teaches Double Team to a compatible Pokémon.",,"false",,,,,,,"double team"
"225","twisted spoon","1000","Held: Increases the power of the holder's Psychic moves by 20%.",,"false",,,,,,,""
"287","spooky plate","1000","Held: Increases the power of the holder's Ghost moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Ghost.",,"false",,,,,,,""
"270","power anklet","3000","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.",,"false",,,,,,,""
"280","fist plate","1000","Held: Increases the power of the holder's Fighting moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Fighting.",,"false",,,,,,,""
"463","white apricorn","200","May be given to Kurt in azalea town to produce a fast ball.",,"false",,,,,,,""
"249","toxic orb","4000","Held: Badly poisons the holder at the end of each turn.",,"false",,,,,,,""
"453","fast ball","0","Used by a trainer in battle:   Attempts to catch a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.:   If the wild Pokémon's base speed is 100 or more, its catch rate is 4× normal.",,"false",,,"4","4",,,""
"35","energy root","1200","Used on a party Pokémon:   Restores 200 HP.  Decreases happiness by 10/10/15.","200101015","false",,,,,,,""
"546","gold teeth","0","The Safari Zone warden's teeth, to be returned to him for hm04.",,"false",,,,,,,""
"276","splash plate","1000","Held: Increases the power of the holder's Water moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Water.",,"false",,,,,,,""
"314","tm10","1000","Teaches Hidden Power to a compatible Pokémon.",,"false",,,,,,,"double edge"
"360","tm56","1000","Teaches Fling to a compatible Pokémon.",,"false",,,,,,,"fling"
"158","watmel berry","20","No effect; only useful for planting and cooking.",,"false",,,,,,,""
"4","poke ball","200","Used in battle:   Attempts to catch a wild Pokémon, using a catch rate of 1×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"1","1",,,""
"212","dragon scale","2000","Held by Seadra: Evolves the holder into Kingdra when traded.",,"false",,,,,,,""
"525","fab mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"455","love ball","0","Used by a trainer in battle:   Attempts to catch a wild Pokémon.  If used in a trainer battle, nothing happens and the ball is lost.    If the trainer's Pokémon and wild Pokémon are of the same species but opposite genders, the wild Pokémon's catch rate is 8× normal.",,"false",,,"8","8",,,""
"38","ether","1200","Used on a party Pokémon:   Restores 10 PP for a selected move.",,"false",,,,,,,""
"55","guard spec","1500","Used on a party Pokémon in battle:   Protects the target's stats from being lowered for the next five turns.  Increases happiness by 1/1/0.",,"false",,,,,,,""
"23","full restore","3000","Used on a party Pokémon:   Restores HP to full and cures any status ailment and confusion.","","false",,,,,,,""
"143","nanab berry","200","No effect; only useful for planting and cooking.",,"false",,,,,,,""
"120","heart mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"155","nomel berry","20","No effect; only useful for planting and cooking.",,"false",,,,,,,""
"102","dome fossil","7000","Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a kabuto.",,"false",,,,,,,""
"255","iron ball","4000","Held: Decreases the holder's Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes.",,"false",,,,,,,""
"115","flame mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"457","sport ball","300","Used by a trainer in battle:   Attempts to catch a wild Pokémon.    The wild Pokémon's catch rate is 1.5× normal.",,"false",,,"5","1",,,""
"12","premier ball","20","Used in battle:   Attempts to catch a wild Pokémon, using a catch rate of 1×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"1","1",,,""
"386","tm82","1000","Teaches Sleep Talk to a compatible Pokémon.",,"false",,,,,,,"sleep talk"
"8","nest ball","1000","Used in battle:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon's level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon's level is higher than 30, this ball has a catch rate of 1×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"9","1",,,""
"136","figy berry","80","Held in battle:   When the holder has 1/2 its max HP remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes spicy flavors (i.e., has a nature that lowers Attack), it will also become confused.",,"false",,,,,,,""
"499","data card 14","0","Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.",,"false",,,,,,,""
"190","bright powder","4000","Held in battle:   Moves targeting the holder have 0.9× chance to hit.",,"false",,,,,,,""
"552","teachy tv","0","Teaches beginning trainers basic information.",,"false",,,,,,,""
"282","earth plate","1000","Held: Increases the power of the holder's Ground moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Ground.",,"false",,,,,,,""
"217","black glasses","1000","Held: Increases the power of the holder's Dark moves by 20%.",,"false",,,,,,,""
"101","helix fossil","7000","Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a omanyte.",,"false",,,,,,,""
"537","meteorite","0","RSE: May be traded to Professor Cozmo for tm27.FRLG: A meteorite to be delivered to Lostelle's father.",,"false",,,,,,,""
"2","ultra ball","800","Used in battle:   Attempts to catch a wild Pokémon, using a catch rate of 2×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"2","2",,,""
"37","revival herb","2800","Used on a party Pokémon:   Revives a fainted Pokémon and restores its HP to full.  Decreases happiness by 10/10/15.","101015","true",,,,,,,""
"344","tm40","1000","Teaches Aerial Ace to a compatible Pokémon.",,"false",,,,,,,"skull bash"
"132","oran berry","80","Held in battle:   When the holder has 1/2 its max HP remaining or less, it consumes this item to restore 10 HP.Used on a party Pokémon:   Restores 10 HP.",,"false",,,,,,,""
"167","kebia berry","80","Held in battle:   When the holder would take super-effective poison-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"97","stable mulch","200","Used on a patch of soil:   Fully-grown plant will last 25% longer before dying and possibly regrowing.",,"false",,,,,,,""
"425","sprayduck","0","Waters Berry plants.",,"false",,,,,,,""
"275","flame plate","1000","Held: Increases the power of the holder's Fire moves by 20%.Held by a Multitype Pokémon: Holder's type becomes Fire.",,"false",,,,,,,""
"312","tm08","50000","Teaches Bulk Up to a compatible Pokémon.",,"false",,,,,,,"body slam"
"527","mach bike","0","Increases movement speed outside or in caves.  Faster than the acro bike.  Allows the trainer to ascend muddy slopes.",,"false",,,,,,,""
"181","petaya berry","80","Held in battle:   When the holder has 1/4 its max HP remaining or less, it consumes this item to raise its Special Attack by one stage.",,"false",,,,,,,""
"209","scope lens","4000","Held: Raises the holder's critical hit counter by 1.",,"false",,,,,,,""
"78","escape rope","300","Used outside of battle:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in distortion world, sinnoh hall of origin 1, spear pillar, or turnback cave.",,"false",,,,,,,""
"162","passho berry","80","Held in battle:   When the holder would take super-effective water-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"259","icy rock","4000","Held: The holder's Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item.",,"false",,,,,,,""
"154","rabuta berry","20","No effect; only useful for planting and cooking.",,"false",,,,,,,""
"96","damp mulch","200","Used on a patch of soil:   Plant's growth stages will each last 25% more time.  Dries soil out more slowly.",,"false",,,,,,,""
"113","lustrous orb","0","Held by palkia:   Holder's dragon- and water-type moves have 1.2× their usual power.",,"false",,,,,,,""
"391","tm87","1000","Teaches Swagger to a compatible Pokémon.",,"false",,,,,,,"swagger"
"470","enigma stone","0","When taken to the pewter city museum, causes latias or latios to attack the trainer.The Pokémon to appear will be whicher can't be encountered roaming in the wild.",,"false",,,,,,,""
"394","tm90","20000","Teaches Substitute to a compatible Pokémon.",,"false",,,,,,,"substitute"
"221","sharp beak","1000","Held: Increases the power of the holder's Flying moves by 20%.",,"false",,,,,,,""
"198","kings rock","5000","Held in battle:   Holder's damaging moves have a 10% chance to make their target flinch.  This chance applies independently to each hit of a multi-hit move.    This item's chance is rolled independently of any other move effects;e.g., a move with a 30% chance to flinch normally will have a 37% total chance to flinch when used with this item, because 3% of the time, both effects activate.Held by poliwhirl or slowbro:   Holder evolves into politoed or slowking, respectively, when traded.",,"false",,,,,,,""
"147","kelpsy berry","80","Used on a party Pokémon:   Increases happiness by 10/5/2.  Lowers Attack effort by 10.",,"false",,,,,,,""
"13","dusk ball","1000","Used in battle:   Attempts to catch a wild Pokémon.  If it's currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.    If used in a trainer battle, nothing happens and the ball is lost.",,"false",,,"5","1",,,""
"165","yache berry","80","Held in battle:   When the holder would take super-effective ice-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"465","dowsing machine","0","Used by trainer outside of battle:   Searches for hidden items.",,"false",,,,,,,""
"174","haban berry","80","Held in battle:   When the holder would take super-effective dragon-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"398","hm02","0","Teaches Fly to a compatible Pokémon.",,"false",,,,,,,"fly"
"493","data card 08","0","Records the number of times the trainer has come in first in the Pokéathlon Block Smash.",,"false",,,,,,,""
