"move_id","name","accuracy","effect","pp","priority","target","type","move_damage_class","hp_healing","hp_drain","power","flinch_chance%","min_hits","max_hits","ailment","ailment_chance%","stat","stat_change_rate","change_amount"
"44","bite","100","Has a $effect_chance% chance to make the target flinch.","25","0","selected pokemon","dark","physical","0","0","60","30","1","1",,"0",,"0",
"45","growl","100","Lowers the target's Attack by one stage.","40","0","all opponents","normal","status","0","0","0","0","0","0",,"0","attack","100","-1"
"46","roar","0","Immediately ends wild battles.  Forces trainers to switch Pokémon.","20","-6","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"47","sing","55","Puts the target to sleep.","15","0","selected pokemon","normal","status","0","0","0","0","0","0","sleep","100",,"0",
"48","supersonic","55","Confuses the target.","20","0","selected pokemon","normal","status","0","0","0","0","0","0","confusion","100",,"0",
"49","sonic boom","90","Inflicts 20 points of damage.","20","0","selected pokemon","normal","special","0","0","0","0","1","1",,"0",,"0",
"50","disable","100","Disables the target's last used move for 1-8 turns.","20","0","selected pokemon","normal","status","0","0","0","0","0","0","disable","0",,"0",
"51","acid","100","Has a $effect_chance% chance to lower the target's Special Defense by one stage.","30","0","all opponents","poison","special","0","0","40","0","1","1",,"0","special defense","10","-1"
"52","ember","100","Has a $effect_chance% chance to burn the target.","25","0","selected pokemon","fire","special","0","0","40","0","1","1","burn","10",,"0",
"53","flamethrower","100","Has a $effect_chance% chance to burn the target.","15","0","selected pokemon","fire","special","0","0","90","0","1","1","burn","10",,"0",
"54","mist","0","Protects the user's stats from being changed by enemy moves.","30","0","users field","ice","status","0","0","0","0","0","0",,"0",,"0",
"55","water gun","100","Inflicts regular damage with no additional effect.","25","0","selected pokemon","water","special","0","0","40","0","1","1",,"0",,"0",
"56","hydro pump","80","Inflicts regular damage with no additional effect.","5","0","selected pokemon","water","special","0","0","110","0","1","1",,"0",,"0",
"57","surf","100","Inflicts regular damage and can hit Dive users.","15","0","all other pokemon","water","special","0","0","90","0","1","1",,"0",,"0",
"58","ice beam","100","Has a $effect_chance% chance to freeze the target.","10","0","selected pokemon","ice","special","0","0","90","0","1","1","freeze","10",,"0",
"59","blizzard","70","Has a $effect_chance% chance to freeze the target.","5","0","all opponents","ice","special","0","0","110","0","1","1","freeze","10",,"0",
"60","psybeam","100","Has a $effect_chance% chance to confuse the target.","20","0","selected pokemon","psychic","special","0","0","65","0","1","1","confusion","10",,"0",
"61","bubble beam","100","Has a $effect_chance% chance to lower the target's Speed by one stage.","20","0","selected pokemon","water","special","0","0","65","0","1","1",,"0","speed","10","-1"
"62","aurora beam","100","Has a $effect_chance% chance to lower the target's Attack by one stage.","20","0","selected pokemon","ice","special","0","0","65","0","1","1",,"0","attack","10","-1"
"63","hyper beam","90","User foregoes its next turn to recharge.","5","0","selected pokemon","normal","special","0","0","150","0","1","1",,"0",,"0",
"64","peck","100","Inflicts regular damage with no additional effect.","35","0","selected pokemon","flying","physical","0","0","35","0","1","1",,"0",,"0",
"65","drill peck","100","Inflicts regular damage with no additional effect.","20","0","selected pokemon","flying","physical","0","0","80","0","1","1",,"0",,"0",
"66","submission","80","User receives 1/4 the damage it inflicts in recoil.","20","0","selected pokemon","fighting","physical","0","-25","80","0","1","1",,"0",,"0",
"67","low kick","100","Inflicts more damage to heavier targets, with a maximum of 120 power.","20","0","selected pokemon","fighting","physical","0","0","0","0","1","1",,"0",,"0",
"68","counter","100","Inflicts twice the damage the user received from the last physical hit it took.","20","-5","specific move","fighting","physical","0","0","0","0","1","1",,"0",,"0",
"69","seismic toss","100","Inflicts damage equal to the user's level.","20","0","selected pokemon","fighting","physical","0","0","0","0","1","1",,"0",,"0",
"70","strength","100","Inflicts regular damage with no additional effect.","15","0","selected pokemon","normal","physical","0","0","80","0","1","1",,"0",,"0",
"71","absorb","100","Drains half the damage inflicted to heal the user.","25","0","selected pokemon","grass","special","0","50","20","0","1","1",,"0",,"0",
"72","mega drain","100","Drains half the damage inflicted to heal the user.","15","0","selected pokemon","grass","special","0","50","40","0","1","1",,"0",,"0",
"73","leech seed","90","Seeds the target, stealing HP from it every turn.","10","0","selected pokemon","grass","status","0","0","0","0","0","0","leech-seed","100",,"0",
"74","growth","0","Raises the user's Attack and Special Attack by one stage.","20","0","user","normal","status","0","0","0","0","0","0",,"0","attack","100","1"
"75","razor leaf","95","Has an increased chance for a critical hit.","25","0","all opponents","grass","physical","0","0","55","0","1","1",,"0",,"0",
"76","solar beam","100","Requires a turn to charge before attacking.","10","0","selected pokemon","grass","special","0","0","120","0","1","1",,"0",,"0",
"77","poison powder","75","Poisons the target.","35","0","selected pokemon","poison","status","0","0","0","0","0","0","poison","100",,"0",
"78","stun spore","75","Paralyzes the target.","30","0","selected pokemon","grass","status","0","0","0","0","0","0","paralysis","100",,"0",
"79","sleep powder","75","Puts the target to sleep.","15","0","selected pokemon","grass","status","0","0","0","0","0","0","sleep","100",,"0",
"80","petal dance","100","Hits every turn for 2-3 turns, then confuses the user.","10","0","random opponent","grass","special","0","0","120","0","1","1",,"0",,"0",
"81","string shot","95","Lowers the target's Speed by two stages.","40","0","all opponents","bug","status","0","0","0","0","0","0",,"0","speed","100","-2"
"82","dragon rage","100","Inflicts 40 points of damage.","10","0","selected pokemon","dragon","special","0","0","0","0","1","1",,"0",,"0",
"83","fire spin","85","Prevents the target from fleeing and inflicts damage for 2-5 turns.","15","0","selected pokemon","fire","special","0","0","35","0","1","1","trap","100",,"0",
"84","thunder shock","100","Has a $effect_chance% chance to paralyze the target.","30","0","selected pokemon","electric","special","0","0","40","0","1","1","paralysis","10",,"0",
"85","thunderbolt","100","Has a $effect_chance% chance to paralyze the target.","15","0","selected pokemon","electric","special","0","0","90","0","1","1","paralysis","10",,"0",
"86","thunder wave","90","Paralyzes the target.","20","0","selected pokemon","electric","status","0","0","0","0","0","0","paralysis","100",,"0",
"87","thunder","70","Has a $effect_chance% chance to paralyze the target.","10","0","selected pokemon","electric","special","0","0","110","0","1","1","paralysis","30",,"0",
"88","rock throw","90","Inflicts regular damage with no additional effect.","15","0","selected pokemon","rock","physical","0","0","50","0","1","1",,"0",,"0",
"89","earthquake","100","Inflicts regular damage and can hit Dig users.","10","0","all other pokemon","ground","physical","0","0","100","0","1","1",,"0",,"0",
"90","fissure","30","Causes a one-hit KO.","5","0","selected pokemon","ground","physical","0","0","0","0","0","0",,"0",,"0",
"91","dig","100","User digs underground, dodging all attacks, and hits next turn.","10","0","selected pokemon","ground","physical","0","0","80","0","1","1",,"0",,"0",
"92","toxic","90","Badly poisons the target, inflicting more damage every turn.","10","0","selected pokemon","poison","status","0","0","0","0","0","0","poison","100",,"0",
"93","confusion","100","Has a $effect_chance% chance to confuse the target.","25","0","selected pokemon","psychic","special","0","0","50","0","1","1","confusion","10",,"0",
"94","psychic","100","Has a $effect_chance% chance to lower the target's Special Defense by one stage.","10","0","selected pokemon","psychic","special","0","0","90","0","1","1",,"0","special defense","10","-1"
"95","hypnosis","60","Puts the target to sleep.","20","0","selected pokemon","psychic","status","0","0","0","0","0","0","sleep","100",,"0",
"96","meditate","0","Raises the user's Attack by one stage.","40","0","user","psychic","status","0","0","0","0","0","0",,"0","attack","100","1"
"97","agility","0","Raises the user's Speed by two stages.","30","0","user","psychic","status","0","0","0","0","0","0",,"0","speed","100","2"
"98","quick attack","100","Inflicts regular damage with no additional effect.","30","1","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"99","rage","100","If the user is hit after using this move, its Attack rises by one stage.","20","0","selected pokemon","normal","physical","0","0","20","0","1","1",,"0",,"0",
"100","teleport","0","Immediately ends wild battles.  No effect otherwise.","20","-6","user","psychic","status","0","0","0","0","0","0",,"0",,"0",
"101","night shade","100","Inflicts damage equal to the user's level.","15","0","selected pokemon","ghost","special","0","0","0","0","1","1",,"0",,"0",
"102","mimic","0","Copies the target's last used move.","10","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"103","screech","85","Lowers the target's Defense by two stages.","40","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0","defense","100","-2"
"104","double team","0","Raises the user's evasion by one stage.","15","0","user","normal","status","0","0","0","0","0","0",,"0","evasion","100","1"
"105","recover","0","Heals the user by half its max HP.","10","0","user","normal","status","50","0","0","0","0","0",,"0",,"0",
"106","harden","0","Raises the user's Defense by one stage.","30","0","user","normal","status","0","0","0","0","0","0",,"0","defense","100","1"
"107","minimize","0","Raises the user's evasion by two stages.","10","0","user","normal","status","0","0","0","0","0","0",,"0","evasion","100","2"
"108","smokescreen","100","Lowers the target's accuracy by one stage.","20","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0","accuracy","100","-1"
"109","confuse ray","100","Confuses the target.","10","0","selected pokemon","ghost","status","0","0","0","0","0","0","confusion","100",,"0",
"110","withdraw","0","Raises the user's Defense by one stage.","40","0","user","water","status","0","0","0","0","0","0",,"0","defense","100","1"
"111","defense curl","0","Raises user's Defense by one stage.","40","0","user","normal","status","0","0","0","0","0","0",,"0","defense","100","1"
"112","barrier","0","Raises the user's Defense by two stages.","20","0","user","psychic","status","0","0","0","0","0","0",,"0","defense","100","2"
"113","light screen","0","Reduces damage from special attacks by 50% for five turns.","30","0","users field","psychic","status","0","0","0","0","0","0",,"0",,"0",
"114","haze","0","Resets all Pokémon's stats, accuracy, and evasion.","30","0","entire field","ice","status","0","0","0","0","0","0",,"0",,"0",
"115","reflect","0","Reduces damage from physical attacks by half.","20","0","users field","psychic","status","0","0","0","0","0","0",,"0",,"0",
"116","focus energy","0","Increases the user's chance to score a critical hit.","30","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"117","bide","0","User waits for two turns, then hits back for twice the damage it took.","10","1","user","normal","physical","0","0","0","0","1","1",,"0",,"0",
"118","metronome","0","Randomly selects and uses any move in the game.","10","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"119","mirror move","0","Uses the target's last used move.","20","0","selected pokemon","flying","status","0","0","0","0","0","0",,"0",,"0",
"120","self destruct","100","User faints.","5","0","all other pokemon","normal","physical","0","0","200","0","1","1",,"0",,"0",
"121","egg bomb","75","Inflicts regular damage with no additional effect.","10","0","selected pokemon","normal","physical","0","0","100","0","1","1",,"0",,"0",
"122","lick","100","Has a $effect_chance% chance to paralyze the target.","30","0","selected pokemon","ghost","physical","0","0","30","0","1","1","paralysis","30",,"0",
"123","smog","70","Has a $effect_chance% chance to poison the target.","20","0","selected pokemon","poison","special","0","0","30","0","1","1","poison","40",,"0",
"124","sludge","100","Has a $effect_chance% chance to poison the target.","20","0","selected pokemon","poison","special","0","0","65","0","1","1","poison","30",,"0",
"125","bone club","85","Has a $effect_chance% chance to make the target flinch.","20","0","selected pokemon","ground","physical","0","0","65","10","1","1",,"0",,"0",
"126","fire blast","85","Has a $effect_chance% chance to burn the target.","5","0","selected pokemon","fire","special","0","0","110","0","1","1","burn","10",,"0",
"127","waterfall","100","Has a $effect_chance% chance to make the target flinch.","15","0","selected pokemon","water","physical","0","0","80","20","1","1",,"0",,"0",
"128","clamp","85","Prevents the target from fleeing and inflicts damage for 2-5 turns.","15","0","selected pokemon","water","physical","0","0","35","0","1","1","trap","100",,"0",
"129","swift","0","Never misses.","20","0","all opponents","normal","special","0","0","60","0","1","1",,"0",,"0",
"130","skull bash","100","Raises the user's Defense by one stage.  User charges for one turn before attacking.","10","0","selected pokemon","normal","physical","0","0","130","0","1","1",,"100",,"0",
"131","spike cannon","100","Hits 2-5 times in one turn.","15","0","selected pokemon","normal","physical","0","0","20","0","2","5",,"0",,"0",
"132","constrict","100","Has a $effect_chance% chance to lower the target's Speed by one stage.","35","0","selected pokemon","normal","physical","0","0","10","0","1","1",,"0","speed","10","-1"
"133","amnesia","0","Raises the user's Special Defense by two stages.","20","0","user","psychic","status","0","0","0","0","0","0",,"0","special defense","100","2"
"134","kinesis","80","Lowers the target's accuracy by one stage.","15","0","selected pokemon","psychic","status","0","0","0","0","0","0",,"0","accuracy","100","-1"
"135","soft boiled","0","Heals the user by half its max HP.","10","0","user","normal","status","50","0","0","0","0","0",,"0",,"0",
"136","high jump kick","90","If the user misses, it takes half the damage it would have inflicted in recoil.","10","0","selected pokemon","fighting","physical","0","0","130","0","1","1",,"0",,"0",
"137","glare","100","Paralyzes the target.","30","0","selected pokemon","normal","status","0","0","0","0","0","0","paralysis","100",,"0",
"138","dream eater","100","Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.","15","0","selected pokemon","psychic","special","0","50","100","0","1","1",,"0",,"0",
"139","poison gas","90","Poisons the target.","40","0","all opponents","poison","status","0","0","0","0","0","0","poison","100",,"0",
"140","barrage","85","Hits 2-5 times in one turn.","20","0","selected pokemon","normal","physical","0","0","15","0","2","5",,"0",,"0",
"141","leech life","100","Drains half the damage inflicted to heal the user.","10","0","selected pokemon","bug","physical","0","50","80","0","1","1",,"0",,"0",
"142","lovely kiss","75","Puts the target to sleep.","10","0","selected pokemon","normal","status","0","0","0","0","0","0","sleep","100",,"0",
"143","sky attack","90","User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.","5","0","selected pokemon","flying","physical","0","0","140","30","1","1",,"0",,"0",
"144","transform","0","User becomes a copy of the target until it leaves battle.","10","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"145","bubble","100","Has a $effect_chance% chance to lower the target's Speed by one stage.","30","0","all opponents","water","special","0","0","40","0","1","1",,"0","speed","10","-1"
"146","dizzy punch","100","Has a $effect_chance% chance to confuse the target.","10","0","selected pokemon","normal","physical","0","0","70","0","1","1","confusion","20",,"0",
"147","spore","100","Puts the target to sleep.","15","0","selected pokemon","grass","status","0","0","0","0","0","0","sleep","100",,"0",
"148","flash","100","Lowers the target's accuracy by one stage.","20","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0","accuracy","100","-1"
"149","psywave","100","Inflicts damage between 50% and 150% of the user's level.","15","0","selected pokemon","psychic","special","0","0","0","0","1","1",,"0",,"0",
"150","splash","0","Does nothing.","40","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"151","acid armor","0","Raises the user's Defense by two stages.","20","0","user","poison","status","0","0","0","0","0","0",,"0","defense","100","2"
"152","crabhammer","90","Has an increased chance for a critical hit.","10","0","selected pokemon","water","physical","0","0","100","0","1","1",,"0",,"0",
"153","explosion","100","User faints.","5","0","all other pokemon","normal","physical","0","0","250","0","1","1",,"0",,"0",
"154","fury swipes","80","Hits 2-5 times in one turn.","15","0","selected pokemon","normal","physical","0","0","18","0","2","5",,"0",,"0",
"155","bonemerang","90","Hits twice in one turn.","10","0","selected pokemon","ground","physical","0","0","50","0","2","2",,"0",,"0",
"156","rest","0","User sleeps for two turns, completely healing itself.","10","0","user","psychic","status","0","0","0","0","0","0",,"0",,"0",
"157","rock slide","90","Has a $effect_chance% chance to make the target flinch.","10","0","all opponents","rock","physical","0","0","75","30","1","1",,"0",,"0",
"158","hyper fang","90","Has a $effect_chance% chance to make the target flinch.","15","0","selected pokemon","normal","physical","0","0","80","10","1","1",,"0",,"0",
"159","sharpen","0","Raises the user's Attack by one stage.","30","0","user","normal","status","0","0","0","0","0","0",,"0","attack","100","1"
"160","conversion","0","User's type changes to the type of one of its moves at random.","30","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"161","tri attack","100","Has a $effect_chance% chance to burn, freeze, or paralyze the target.","10","0","selected pokemon","normal","special","0","0","80","0","1","1","unknown","20",,"0",
"162","super fang","90","Inflicts damage equal to half the target's HP.","10","0","selected pokemon","normal","physical","0","0","0","0","1","1",,"0",,"0",
"163","slash","100","Has an increased chance for a critical hit.","20","0","selected pokemon","normal","physical","0","0","70","0","1","1",,"0",,"0",
"164","substitute","0","Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.","10","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"165","struggle","0","User takes 1/4 its max HP in recoil.","1","0","random opponent","normal","physical","-25","0","50","0","1","1",,"0",,"0",
"166","sketch","0","Permanently becomes the target's last used move.","1","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"167","triple kick","90","Hits three times, increasing power by 100% with each successful hit.","10","0","selected pokemon","fighting","physical","0","0","10","0","3","3",,"0",,"0",
"168","thief","100","Takes the target's item.","25","0","selected pokemon","dark","physical","0","0","60","0","1","1",,"0",,"0",
"169","spider web","0","Prevents the target from leaving battle.","10","0","selected pokemon","bug","status","0","0","0","0","0","0",,"0",,"0",
"170","mind reader","0","Ensures that the user's next move will hit the target.","5","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"171","nightmare","100","Target loses 1/4 its max HP every turn as long as it's asleep.","15","0","selected pokemon","ghost","status","0","0","0","0","0","0","nightmare","100",,"0",
"172","flame wheel","100","Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.","25","0","selected pokemon","fire","physical","0","0","60","0","1","1","burn","10",,"0",
"173","snore","100","Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.","15","0","selected pokemon","normal","special","0","0","50","30","1","1",,"0",,"0",
"174","curse","0","Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.","10","0","specific move","ghost","status","0","0","0","0","0","0",,"0",,"0",
"175","flail","100","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","15","0","selected pokemon","normal","physical","0","0","0","0","1","1",,"0",,"0",
"176","conversion 2","0","Changes the user's type to a random type either resistant or immune to the last move used against it.","30","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"177","aeroblast","95","Has an increased chance for a critical hit.","5","0","selected pokemon","flying","special","0","0","100","0","1","1",,"0",,"0",
"178","cotton spore","100","Lowers the target's Speed by two stages.","40","0","all opponents","grass","status","0","0","0","0","0","0",,"0","speed","100","-2"
"179","reversal","100","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","15","0","selected pokemon","fighting","physical","0","0","0","0","1","1",,"0",,"0",
"180","spite","100","Lowers the PP of the target's last used move by 4.","10","0","selected pokemon","ghost","status","0","0","0","0","0","0",,"0",,"0",
"181","powder snow","100","Has a $effect_chance% chance to freeze the target.","25","0","all opponents","ice","special","0","0","40","0","1","1","freeze","10",,"0",
"182","protect","0","Prevents any moves from hitting the user this turn.","10","4","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"183","mach punch","100","Inflicts regular damage with no additional effect.","30","1","selected pokemon","fighting","physical","0","0","40","0","1","1",,"0",,"0",
"184","scary face","100","Lowers the target's Speed by two stages.","10","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0","speed","100","-2"
"185","feint attack","0","Never misses.","20","0","selected pokemon","dark","physical","0","0","60","0","1","1",,"0",,"0",
"186","sweet kiss","75","Confuses the target.","10","0","selected pokemon","fairy","status","0","0","0","0","0","0","confusion","100",,"0",
"187","belly drum","0","User pays half its max HP to max out its Attack.","10","0","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"188","sludge bomb","100","Has a $effect_chance% chance to poison the target.","10","0","selected pokemon","poison","special","0","0","90","0","1","1","poison","30",,"0",
"189","mud slap","100","Has a $effect_chance% chance to lower the target's accuracy by one stage.","10","0","selected pokemon","ground","special","0","0","20","0","1","1",,"0","accuracy","100","-1"
"190","octazooka","85","Has a $effect_chance% chance to lower the target's accuracy by one stage.","10","0","selected pokemon","water","special","0","0","65","0","1","1",,"0","accuracy","50","-1"
"191","spikes","0","Scatters Spikes, hurting opposing Pokémon that switch in.","20","0","opponents field","ground","status","0","0","0","0","0","0",,"0",,"0",
"192","zap cannon","50","Has a $effect_chance% chance to paralyze the target.","5","0","selected pokemon","electric","special","0","0","120","0","1","1","paralysis","100",,"0",
"193","foresight","0","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.","40","0","selected pokemon","normal","status","0","0","0","0","0","0","no-type-immunity","100",,"0",
"194","destiny bond","0","If the user faints this turn, the target automatically will, too.","5","0","user","ghost","status","0","0","0","0","0","0",,"0",,"0",
"195","perish song","0","User and target both faint after three turns.","5","0","all pokemon","normal","status","0","0","0","0","0","0","perish-song","100",,"0",
"196","icy wind","95","Has a $effect_chance% chance to lower the target's Speed by one stage.","15","0","all opponents","ice","special","0","0","55","0","1","1",,"0","speed","100","-1"
"197","detect","0","Prevents any moves from hitting the user this turn.","5","4","user","fighting","status","0","0","0","0","0","0",,"0",,"0",
"198","bone rush","90","Hits 2-5 times in one turn.","10","0","selected pokemon","ground","physical","0","0","25","0","2","5",,"0",,"0",
"199","lock on","0","Ensures that the user's next move will hit the target.","5","0","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"200","outrage","100","Hits every turn for 2-3 turns, then confuses the user.","10","0","random opponent","dragon","physical","0","0","120","0","1","1",,"0",,"0",
"201","sandstorm","0","Changes the weather to a sandstorm for five turns.","10","0","entire field","rock","status","0","0","0","0","0","0",,"0",,"0",
"202","giga drain","100","Drains half the damage inflicted to heal the user.","10","0","selected pokemon","grass","special","0","50","75","0","1","1",,"0",,"0",
"203","endure","0","Prevents the user's HP from lowering below 1 this turn.","10","4","user","normal","status","0","0","0","0","0","0",,"0",,"0",
"204","charm","100","Lowers the target's Attack by two stages.","20","0","selected pokemon","fairy","status","0","0","0","0","0","0",,"0","attack","100","-2"
"205","rollout","90","Power doubles every turn this move is used in succession after the first, resetting after five turns.","20","0","selected pokemon","rock","physical","0","0","30","0","1","1",,"0",,"0",
"206","false swipe","100","Cannot lower the target's HP below 1.","40","0","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"207","swagger","85","Raises the target's Attack by two stages and confuses the target.","15","0","selected pokemon","normal","status","0","0","0","0","0","0","confusion","0","attack","0","2"
"208","milk drink","0","Heals the user by half its max HP.","10","0","user","normal","status","50","0","0","0","0","0",,"0",,"0",
"209","spark","100","Has a $effect_chance% chance to paralyze the target.","20","0","selected pokemon","electric","physical","0","0","65","0","1","1","paralysis","30",,"0",
