"id","pokemon_speciesID","nickname","ownerID","level","experience","gender","nature","item","datetime","location_subareaID","obtention_method","pokeballID","move1","move2","move3","move4"
"44","141","Brindle","2","11","1832","female","timid","soda pop","Fri Sep 09 16:28:04 CEST 2011",,"gift","level ball","145","157","240","57"
"45","303","Binky","2","4","145","male","hasty","earth plate","Tue Sep 21 02:56:34 CEST 2021","452","walk","dusk ball","211","204","231","232"
"46","442","Butch","2","4","191","female","modest","tm case","Sat Dec 24 14:12:09 CET 2011",,"gift","sport ball","194","109","168","180"
"47","225","Mango","2","11","1505","male","relaxed","repeat ball","Sun Feb 18 22:11:44 CET 2001","499","walk","sport ball","62","114","65","16"
"48","41","Bacchus","2","19","8991","male","hasty","tm11","Thu Dec 15 07:03:43 CET 2016","377","walk","safari ball","17","51","19","64"
"49","88","Pierre","2","18","6917","female","hardy","data card 11","Tue Apr 27 10:32:25 CEST 2010","495","walk","repeat ball","40","124","77","123"
"50","128","Diesel","2","16","6886","female","hardy","data card 13","Sat Jun 24 13:06:22 CEST 2006","484","walk","dive ball","193","15","163","161"
"51","81","Cheyenne","2","15","4480","male","quiet","retro mail","Tue Aug 04 17:34:18 CEST 2020","381","walk","love ball","84","211","192","9"
"52","307","Hammer","2","1","20","female","careful",,"Sun Apr 04 15:56:58 CEST 2021","382","walk","park ball","95","223","2","243"
"53","293","Bosco","2","7","364","male","calm","damp mulch","Fri Apr 17 20:44:51 CEST 2015","183","walk","ultra ball","33","170","99","32"
"54","282","Zippy","2","16","6536","female","quirky","quick ball","Fri Dec 02 22:59:09 CET 2005",,"gift","heavy ball","95","94","134","186"
"55","373","Sheena","2","16","7198","male","naive",,"Mon Aug 29 21:56:46 CEST 2016",,"gift","premier ball","177","82","64","239"
"56","489","Snuffles","2","4","268","male","quirky","payapa berry","Sat Nov 14 04:41:00 CET 1998",,"gift","dive ball","55","127","57","56"
"57","463","Gigi","2","14","3753","male","mild","mysticticket","Tue Dec 09 13:42:14 CET 1997",,"grass spots","nest ball","6","45","130","164"
"58","483","Trouble","2","17","8191","female","mild",,"Sun Nov 16 01:39:08 CET 2014",,"gift","ultra ball","239","232","200","82"
"59","431","Jersey","2","17","5437","male","brave",,"Sun Feb 23 13:00:18 CET 2003","501","walk","park ball","142","135","160","23"
"60","129","Blondie","2","17","7332","female","calm","glitter mail","Wed Apr 03 17:42:23 CEST 2019","371","good rod","heal ball","55","240","128","190"
"61","109","Casey","2","19","8354","female","naive","silk scarf","Sat May 22 09:58:55 CEST 2004","430","walk","park ball","151","77","92","124"
"62","61","Gabriella","2","11","990","female","jolly",,"Thu Apr 18 21:01:17 CEST 1996","506","super rod","safari ball","145","127","240","250"
"63","471","Sailor","2","17","6552","female","bashful",,"Sun Aug 19 23:58:30 CEST 2018",,"gift","ultra ball","54","196","59","114"
"64","363","Calvin","2","10","942","male","jolly",,"Sun Dec 30 17:13:25 CET 2001","515","surf","cherish ball","152","57","196","62"
"65","474","Whispy","2","9","1210","female","brave","earth plate","Fri Sep 17 11:49:32 CEST 1999",,"gift","quick ball","103","195","45","37"
"66","361","Noel","2","18","7476","male","impish",,"Mon Mar 18 03:26:35 CET 2019","470","walk","safari ball","54","196","181","62"
"67","147","Taffy","2","14","4357","female","lax","hm06","Mon Sep 13 08:13:35 CEST 2004","387","super rod","premier ball","200","239","225","82"
"68","252","Hunter","2","6","269","female","quirky","soda pop","Sat May 14 11:08:15 CEST 2022","298","gift","heavy ball","178","76","79","235"
"69","460","Ermilia","2","4","227","male","quiet","quick ball","Mon Jun 10 09:44:44 CEST 2002","385","walk","quick ball","72","78","178","62"
"70","80","Buster","2","14","3416","female","sassy","salac berry","Mon May 28 06:34:22 CEST 2012","210","surf","premier ball","57","152","60","243"
"71","167","Kiki","2","17","5442","female","brave",,"Mon Dec 16 01:38:34 CET 2002","182","headbutt normal","love ball","151","51","42","41"
"72","209","Miasy","2","14","2953","male","hasty","big root","Fri Apr 02 04:45:19 CEST 2010","484","walk","heal ball","204","186","236","50"
"73","231","Elwood","2","12","2409","male","bold","flame orb","Tue Dec 13 13:37:48 CET 2022","482","walk","timer ball","91","90","28","198"
"74","46","Olivia","2","5","236","female","calm",,"Sun Jul 19 13:12:53 CEST 2015","165","walk","poke ball","42","22","78","141"
"75","44","Wayne","2","6","283","female","adamant",,"Sun Dec 15 16:27:38 CET 2013","505","walk","cherish ball","76","124","79","188"
"76","192","Barley","2","11","1174","female","sassy","dread plate","Thu Jun 04 00:34:10 CEST 1998",,"grass spots","poke ball","76","80","147","22"
"77","397","Hoover","2","18","4960","male","bashful",,"Fri Feb 01 00:40:56 CET 2008","521","walk","heal ball","175","229","15","36"
"78","242","Kurly","2","14","3195","female","bold",,"Tue Apr 21 06:07:08 CEST 1998",,"gift","heavy ball","10","37","35","160"
"79","482","Lou","2","18","8625","female","brave","rule book","Wed Dec 25 04:10:32 CET 1996",,"gift","nest ball","97","243","100","248"
"80","348","Tuck","2","16","9022","female","lonely","rage candy bar","Sat Aug 13 19:01:04 CEST 2016",,"gift","great ball","41","210","169","88"
"81","156","Friday","2","6","242","female","naive","data card 26","Sun Oct 06 21:39:03 CEST 2019",,"gift","ultra ball","83","126","221","52"
"82","313","Doogie","2","13","5260","male","naive","vs recorder","Mon Mar 29 11:28:36 CEST 1999","509","walk","net ball","141","224","41","42"
"83","444","Pluto","2","16","6787","female","bold",,"Fri Oct 14 15:58:35 CEST 2016","419","walk","master ball","155","200","82","28"
"84","180","Tramp","2","8","419","female","timid","super potion","Thu Nov 11 12:23:19 CET 2004","504","walk","repeat ball","86","85","84","87"
"85","468","Tiger","2","14","3266","female","gentle","metal powder","Sat Mar 24 22:24:07 CET 2018",,"gift","timer ball","177","16","17","119"
"86","24","Harvey","3","16","5721","female","hasty",,"Fri Dec 16 20:11:01 CET 2016","395","walk","net ball","151","139","92","123"
"87","262","Gretchen","3","4","206","male","gentle",,"Wed Jun 20 18:31:35 CEST 2012","497","walk","friend ball","228","251","44","168"
"88","324","Murphy","3","15","4111","male","calm","power anklet","Sat Sep 18 03:00:47 CEST 2004","428","walk","friend ball","172","83","126","241"
"89","43","Hardy","3","16","3124","female","adamant","tm71","Wed Dec 19 08:28:20 CET 2018","505","walk","level ball","72","235","92","76"
"90","478","Maxwell","3","13","3070","male","jolly","good rod","Sun Nov 27 16:58:59 CET 2005",,"gift","love ball","181","247","174","54"
"91","396","Casey","3","16","3702","male","sassy","tm07","Mon Nov 22 06:51:03 CET 2010","395","walk","premier ball","146","64","14","162"
"92","154","Bandit","3","19","6398","female","bashful","ganlon berry","Sat Sep 27 15:23:24 CEST 1997",,"gift","park ball","72","22","147","178"
"93","85","Mouse","3","3","84","male","jolly","mosaic mail","Sat Dec 12 15:50:05 CET 2009","174","walk","level ball","18","220","237","108"
"94","88","Samantha","3","16","5261","female","adamant",,"Mon Mar 07 01:38:47 CET 2022","495","walk","nest ball","92","139","123","188"
"95","337","Chrissy","3","18","6093","male","adamant","rainbow wing","Fri Dec 20 02:11:18 CET 2019","383","walk","nest ball","115","97","133","88"
"96","339","Tango","3","12","2378","female","careful",,"Thu Dec 15 12:00:33 CET 2022","372","good rod","great ball","240","198","91","110"
"97","77","Guillermo","3","10","1437","male","naughty","chople berry","Fri Dec 14 16:07:49 CET 2012","481","walk","fast ball","221","126","172","241"
"98","257","Dave","3","18","5308","female","modest","blue apricorn","Wed Sep 20 00:51:58 CEST 2006",,"gift","heal ball","238","26","172","241"
"99","56","Missy","3","3","85","female","impish","tm37","Wed Aug 25 17:52:13 CEST 2004","506","walk","poke ball","223","27","179","249"
"100","390","Bishop","3","17","4539","female","hardy","chople berry","Fri Sep 21 06:38:44 CEST 2018","466","gift","love ball","172","221","126","241"
"101","302","Protasio","3","19","6151","male","hasty","cheri berry","Thu May 06 01:36:51 CEST 2010","452","walk","heavy ball","101","44","242","228"
"102","122","Xena","3","16","5618","male","docile",,"Fri Jun 13 01:12:35 CEST 2014","501","walk","great ball","113","134","133","156"
"103","173","Doggon’","3","15","3870","female","mild","damp rock","Sun Aug 16 14:13:55 CEST 2015","382","walk","premier ball","236","186","204","244"
"104","401","Little-rascal","3","13","1718","female","docile","seal case","Wed Dec 31 14:36:36 CET 2014","380","walk","dusk ball","224","210","169","81"
"105","412","Buzzy","3","5","292","female","bold",,"Thu Feb 12 05:55:15 CET 1998",,"walk","lure ball","224","141","210","42"
"106","278","Curly","3","8","785","female","relaxed",,"Sat Dec 19 15:57:43 CET 2015","371","surf","repeat ball","19","240","16","250"
"107","424","Jess","3","18","5742","male","modest",,"Tue Jul 23 08:07:45 CEST 1996",,"gift","heal ball","129","229","107","213"
"108","489","Armanti","3","11","2544","female","timid",,"Wed Jun 28 16:12:58 CEST 2006",,"gift","level ball","127","110","240","190"
"109","140","Codi","3","18","7195","female","rash",,"Fri Jan 13 22:03:48 CET 2017",,"gift","poke ball","250","145","205","152"
"110","174","Butterscotch","3","17","4667","male","careful",,"Thu Apr 28 02:09:01 CEST 2022","187","gift egg","dusk ball","166","159","132","121"
"111","330","Ermilia","3","4","173","male","bashful","life orb","Sun Mar 10 22:52:22 CET 2019",,"gift","poke ball","239","89","222","155"
"112","353","Mulligan","3","16","4232","male","timid",,"Sun May 02 05:14:01 CEST 2004","271","walk","heavy ball","247","174","194","122"
"113","132","Tramp","3","17","6652","male","hasty",,"Thu Feb 15 00:58:39 CET 2001","501","walk","dive ball","14","226","25","99"
"114","35","Cameo","3","10","1194","female","hardy","member card","Tue Nov 06 08:59:44 CET 2018","382","walk","nest ball","236","186","204","77"
"115","73","Buffy","3","8","1050","male","quiet","tm74","Mon Jul 25 21:16:33 CEST 2022","371","surf","lure ball","145","127","190","57"
"116","309","Nathan","3","2","56","female","jolly",,"Tue Dec 14 02:32:44 CET 1999","379","walk","master ball","85","192","84","209"
"117","353","Aggie","3","16","4397","female","mild","tm14","Thu Aug 18 01:25:55 CEST 2005","271","walk","sport ball","180","171","194","122"
"118","311","Woofie","3","4","126","male","hardy",,"Tue Aug 29 15:47:56 CEST 2006","182","walk","quick ball","87","85","9","192"
"119","384","Jaguar","3","5","302","male","modest",,"Sun Sep 14 13:21:43 CEST 2014","297","only one","premier ball","143","16","82","19"
"120","426","Noel","4","9","695","male","relaxed",,"Mon Jul 12 01:13:34 CEST 1999",,"dark grass","repeat ball","122","65","171","19"
"121","220","Panda","4","16","6191","male","timid","fast ball","Thu Jan 22 14:13:30 CET 2015","473","walk","timer ball","58","62","114","59"
"122","466","Indy","4","6","505","male","mild","tm22","Sun Mar 18 19:00:01 CET 2018",,"gift","level ball","87","84","192","209"
"123","379","Gigi","4","8","1000","male","serious",,"Sat Sep 07 22:03:24 CEST 2013","364","only one","poke ball","231","211","232","173"
"124","310","Simba","4","11","2181","male","careful","dusk ball","Tue Oct 20 05:37:09 CEST 2020","315","walk","moon ball","209","85","84","87"
"125","421","Amy","4","9","1172","female","timid",,"Mon Aug 12 22:37:02 CEST 2013",,"walk","sport ball","71","202","80","235"
"126","43","Dakota","4","19","6034","female","docile",,"Mon Dec 23 19:51:24 CET 2019","505","walk","premier ball","188","72","235","79"
"127","258","Willy","4","19","5635","male","bashful","muscle band","Wed Aug 24 09:32:02 CEST 2005","298","gift","cherish ball","56","152","57","250"
"128","381","Kali","4","17","8506","female","careful","clear bell","Thu Aug 27 17:09:18 CEST 1998","361","only one","level ball","225","156","149","93"
"129","245","Wally","4","16","6869","male","sassy","tm69","Thu Apr 07 10:52:10 CEST 2011","146","only one","moon ball","61","240","250","190"
"130","246","Bam-bam","5","9","1610","female","impish",,"Mon Dec 14 14:25:45 CET 2009","481","walk","friend ball","205","89","28","155"
"131","196","Pasha","5","3","108","male","rash","dragon fang","Sat Aug 09 18:40:45 CEST 2008",,"gift","moon ball","115","138","149","97"
"132","21","Karma","5","8","754","male","modest","twisted spoon","Sun May 14 14:28:29 CEST 2000","506","walk","dive ball","31","166","182","213"
"133","408","Diosnelio","5","5","456","male","calm","miracle seed","Mon Feb 13 23:58:24 CET 2012",,"gift","fast ball","201","205","157","246"
"134","222","Maya","5","10","1267","male","bold","max elixir","Sun Sep 14 05:14:32 CEST 2014","516","walk","fast ball","240","205","110","57"
"135","383","Tori","5","6","433","male","adamant","tm40","Fri Jun 18 12:47:06 CEST 2004","285","only one","love ball","28","189","222","125"
"136","374","Miles","5","10","2028","male","lax","black apricorn","Tue Aug 17 01:07:11 CEST 1999","508","walk","level ball","149","115","95","211"
"137","439","Roland","5","13","3235","male","hasty",,"Sat Jun 04 07:54:23 CEST 2011","484","walk","safari ball","100","149","204","95"
"138","405","Kyra","5","12","1458","female","impish",,"Sat Feb 12 09:05:21 CET 2000",,"gift","dive ball","84","9","209","87"
"139","380","Dharma","5","10","1797","male","mild","tamato berry","Mon Apr 16 09:01:52 CEST 2012","361","gift","level ball","239","112","97","134"
"140","149","Itsy-bitsy","5","12","3312","male","docile","grip claw","Fri Oct 10 08:00:48 CEST 2003",,"super rod spots","sport ball","65","64","143","225"
"141","144","Arnie","5","7","658","male","bold","ice heal","Sat Nov 08 14:58:48 CET 2014","50","only one","nest ball","114","59","119","143"
"142","390","Jagger","5","3","109","male","hasty","tm25","Wed Mar 25 05:21:34 CET 2009","466","gift","nest ball","7","83","52","53"
"143","437","Haowen","5","13","2870","female","relaxed",,"Wed Jan 24 11:38:57 CET 2001","383","walk","level ball","232","156","211","96"
"144","427","Happy","5","10","1369","male","serious","silver powder","Tue Sep 11 09:56:37 CEST 2018","380","walk","lure ball","214","137","106","229"
"145","239","Midnight","5","7","616","male","hasty","data card 14","Wed Feb 07 12:14:31 CET 2018","379","walk","heal ball","9","87","192","84"
"146","312","Roscoe","5","1","18","male","calm",,"Thu Oct 17 03:22:05 CEST 2013","182","walk","ultra ball","209","84","86","192"
"147","201","Koty","5","14","3722","female","bashful","blue orb","Wed Dec 31 12:09:17 CET 2014","401","walk","lure ball","156","95","96","243"
"148","445","Bj","5","1","23","male","quirky","data card 22","Mon Sep 29 20:49:25 CEST 2014",,"gift","dive ball","200","125","225","28"
"149","15","Millie","5","10","1608","male","docile","magmarizer","Thu Apr 30 22:37:09 CEST 2020","165","headbutt low","love ball","169","92","141","40"
"150","492","Taz","5","2","57","female","calm",,"Sun Jun 25 21:26:15 CEST 2017",,"gift","ultra ball","235","178","76","147"
"151","183","Gidget","5","5","188","female","naive","griseous orb","Fri Feb 10 19:54:41 CET 2023","395","walk","luxury ball","204","190","128","57"
"152","177","Audi","5","5","338","male","adamant","dusk ball","Mon Sep 10 23:19:39 CEST 2001","505","walk","ultra ball","133","64","156","93"
"153","168","Foxy","5","1","8","male","jolly","soul dew","Tue Mar 24 13:10:04 CET 2020","509","walk","luxury ball","92","141","81","224"
"154","59","Ginny","5","17","8228","male","sassy",,"Sun Apr 06 03:13:57 CEST 1997",,"gift","quick ball","241","172","53","7"
"155","279","Rhett","5","15","4778","male","brave",,"Wed Sep 22 22:32:01 CEST 2021","371","surf","heavy ball","250","152","143","177"
"156","393","Samson","5","6","296","male","hardy","iron plate","Mon Jun 20 10:05:57 CEST 2005","466","gift","level ball","57","55","56","152"
"157","426","Summer","5","16","3248","male","jolly","dream mail","Sun Jun 10 23:20:13 CEST 2001",,"walk","fast ball","17","122","194","109"
"158","214","Nicky","5","2","48","male","bashful","nugget","Tue Feb 14 12:20:45 CET 2012","182","headbutt high","dusk ball","69","249","238","224"
"159","451","Bam-bam","5","6","496","female","timid","chilan berry","Fri May 25 04:48:48 CEST 2001",,"dark grass","nest ball","40","81","92","139"
"160","453","Piedrasantas","6","11","2029","male","careful","black glasses","Thu Apr 28 03:25:19 CEST 2022","495","walk","repeat ball","249","26","197","66"
"161","332","Bob","6","5","194","male","bold",,"Sun Jun 08 15:14:23 CEST 2008","508","walk","cherish ball","78","168","147","202"
"162","324","Olivia","6","11","2044","female","sassy","ganlon berry","Tue Oct 30 19:51:28 CET 2012","428","walk","love ball","53","52","126","221"
"163","122","Lexie","6","19","8754","male","rash","bluk berry","Wed Feb 25 19:37:18 CET 2015","501","walk","park ball","236","112","115","248"
"164","86","Pandora","6","3","86","male","relaxed","flame orb","Wed Feb 04 01:18:01 CET 1998","515","surf","timer ball","61","240","110","128"
"165","145","Pinky","6","1","23","male","quiet","cornn berry","Mon Aug 18 22:21:13 CEST 1997","17","only one","dusk ball","84","64","86","65"
"166","325","Genie","6","15","3480","female","bold",,"Wed Feb 28 22:02:01 CET 1996","497","walk","nest ball","96","97","100","156"
"167","270","Frosty","6","11","1010","female","naive",,"Thu Jan 28 09:14:03 CET 1999","476","walk","dive ball","61","76","127","78"
"168","349","Banjo","6","15","7225","female","quiet","spelon berry","Wed May 27 08:54:25 CEST 2020",,"super rod spots","heavy ball","240","145","56","110"
"169","130","Yogi-bear","6","7","675","female","hardy",,"Mon Jun 11 04:31:18 CEST 2007","371","super rod","cherish ball","19","250","152","143"
"170","81","Mikey","6","15","4859","male","modest",,"Thu Aug 26 19:51:09 CEST 2021","381","walk","master ball","86","87","209","232"
"171","56","Hans","6","17","5855","female","sassy","rule book","Wed Apr 17 02:51:46 CEST 2013","506","walk","lure ball","197","27","249","136"
"172","135","Mini","6","5","271","female","rash","tm60","Mon Sep 06 16:06:08 CEST 1999",,"gift","safari ball","9","85","192","84"
"173","137","Newt","6","7","514","female","docile",,"Fri Mar 28 08:06:21 CET 1997","519","gift","lure ball","165","158","5","11"
"174","142","Pinto","6","1","18","male","serious","tm55","Fri Feb 14 22:36:07 CET 2014",,"gift","net ball","177","16","19","143"
"175","169","Bambi","6","12","2288","male","serious",,"Mon Apr 22 21:40:48 CEST 2019",,"grass spots","master ball","19","123","177","119"
"176","62","Ginger","6","3","97","male","quiet","sea incense","Wed Dec 28 00:43:34 CET 2016",,"super rod spots","premier ball","136","57","190","197"
"177","254","Taffy","6","16","3283","male","mild","data card 09","Fri Oct 21 20:43:41 CEST 2011",,"gift","moon ball","71","235","73","147"
"178","38","Tammy","6","6","359","female","sassy","full heal","Fri May 04 14:30:38 CEST 2007",,"grass spots","net ball","172","221","241","7"
"179","31","Tobie","6","8","501","female","serious",,"Thu Dec 06 19:45:12 CET 2001",,"gift","level ball","191","139","28","92"
"180","255","Rascal","6","14","2213","male","adamant","lemonade","Sat Dec 28 07:45:51 CET 2013","298","gift","dusk ball","7","83","221","172"
"181","152","Lexie","6","7","394","female","hardy",,"Mon Nov 17 11:20:42 CET 2008","180","gift","friend ball","202","78","75","178"
"182","466","Sebastian","6","18","7343","male","rash",,"Thu Jul 21 10:30:22 CEST 2005",,"gift","premier ball","9","209","86","84"
"183","408","Miss Priss","6","2","86","female","impish","tm85","Mon Aug 16 04:30:59 CEST 1999",,"gift","level ball","205","246","88","201"
"184","70","Fulgencio","6","16","3264","female","sassy",,"Sun Feb 14 02:37:32 CET 2021","505","walk","dive ball","139","51","80","202"
"185","106","Tootsie","6","7","641","female","mild","repeat ball","Fri Apr 23 16:11:08 CEST 2010","81","gift","safari ball","67","136","26","249"
"186","446","Piglet","6","7","786","male","brave","big root","Sat Apr 13 09:30:41 CEST 2019",,"gift","safari ball","43","170","10","36"
"187","342","Marley","6","9","573","female","naughty",,"Fri Sep 21 11:08:47 CEST 2001","511","super rod","great ball","128","127","57","242"
"188","212","Aires","6","6","384","male","sassy","tm66","Thu Apr 28 06:18:41 CEST 2011",,"gift","moon ball","224","41","42","141"
"189","307","Nickers","7","7","643","male","brave",,"Sun Nov 21 08:52:34 CET 2010","382","walk","great ball","136","238","97","167"
"190","19","Godiva","7","13","3277","male","sassy","love ball","Thu Mar 10 16:05:10 CET 2005","506","walk","cherish ball","130","184","5","176"
"191","396","Expiración","7","1","32","female","timid",,"Sat Nov 02 21:54:34 CET 2002","395","walk","great ball","214","206","159","35"
"192","299","Friday","7","8","847","male","quirky",,"Sun Mar 14 17:35:52 CET 2021","382","walk","lure ball","246","201","205","88"
"193","57","Ming","7","2","51","male","hardy",,"Sun May 19 01:35:51 CEST 1996","506","walk","heavy ball","167","68","179","233"
"194","420","Killian","7","16","5173","male","gentle",,"Wed Jul 03 01:19:21 CEST 2013",,"gift","repeat ball","72","147","75","178"
"195","43","Sammy","7","4","155","female","naughty",,"Fri Jul 18 14:19:51 CEST 2014","505","walk","level ball","80","139","76","72"
"196","373","Jasmine","7","6","558","female","sassy",,"Sun Nov 24 01:50:05 CET 1996",,"gift","lure ball","17","16","143","225"
"197","171","Punkin","7","15","5748","female","relaxed","wave incense","Mon Apr 19 13:19:01 CEST 2010","513","super rod","nest ball","127","128","152","61"
"198","436","Mia","7","4","210","female","impish",,"Mon Oct 08 14:01:39 CEST 2012","382","walk","fast ball","248","95","97","211"
"199","132","Volvo","7","3","93","male","quiet",,"Sun Dec 03 10:16:42 CET 2017","501","walk","moon ball","5","163","47","29"
"200","139","Cali","7","12","2204","female","naive","tm39","Mon Jul 27 10:37:15 CEST 2015",,"gift","moon ball","205","190","110","145"
"201","209","Pirate","7","16","4399","male","calm","tm23","Sat May 28 05:40:40 CEST 2022","484","walk","lure ball","236","204","186","134"
"202","15","Barker","7","7","724","male","bashful","super potion","Sat Apr 28 17:32:45 CEST 2012","165","headbutt low","moon ball","124","210","92","224"
"203","50","Ruger","7","9","1045","male","quirky","dawn stone","Sat Jan 22 12:54:21 CET 2005","508","walk","sport ball","89","189","28","155"
"204","87","Purdy","8","12","2543","female","hasty","good rod","Sun Sep 12 10:00:58 CEST 1999","422","walk","park ball","181","62","190","240"
"205","178","Olive","8","11","1959","female","hasty","magma emblem","Sat Aug 07 07:24:52 CEST 1999","336","walk","dive ball","134","19","93","243"
"206","64","Digna","8","9","651","female","lonely","tm46","Sat Feb 18 11:05:12 CET 2017","420","walk","safari ball","248","115","156","94"
"207","166","Summer","8","10","1351","female","naive",,"Tue Jan 30 21:33:40 CET 2018","509","walk","timer ball","141","169","224","17"
