"pokemon","subareaID","method","condition_type","condition_value","chance%","min_level","max_level"
"metapod","240","headbutt","","","15","10","10"
"metapod","240","headbutt","","","15","10","10"
"butterfree","165","headbutt","","","5","10","10"
"butterfree","165","headbutt","","","5","10","10"
"butterfree","165","headbutt","","","5","10","10"
"butterfree","187","headbutt","","","5","10","10"
"butterfree","187","headbutt","","","5","10","10"
"butterfree","187","headbutt","","","5","10","10"
"butterfree","188","headbutt","","","5","10","10"
"butterfree","188","headbutt","","","5","10","10"
"butterfree","188","headbutt","","","5","10","10"
"butterfree","189","headbutt","","","5","10","10"
"butterfree","189","headbutt","","","5","10","10"
"butterfree","189","headbutt","","","5","10","10"
"butterfree","190","headbutt","","","5","10","10"
"butterfree","190","headbutt","","","5","10","10"
"butterfree","190","headbutt","","","5","10","10"
"butterfree","191","headbutt","","","5","10","10"
"butterfree","191","headbutt","","","5","10","10"
"butterfree","191","headbutt","","","5","10","10"
"butterfree","192","headbutt","","","5","10","10"
"butterfree","192","headbutt","","","5","10","10"
"butterfree","192","headbutt","","","5","10","10"
"butterfree","166","headbutt","","","5","10","10"
"butterfree","166","headbutt","","","5","10","10"
"butterfree","166","headbutt","","","5","10","10"
"butterfree","34","headbutt","","","5","10","10"
"butterfree","34","headbutt","","","5","10","10"
"butterfree","34","headbutt","","","5","10","10"
"butterfree","35","headbutt","","","5","10","10"
"butterfree","35","headbutt","","","5","10","10"
"butterfree","35","headbutt","","","5","10","10"
"butterfree","27","walk","time","morning ","10","7","7"
"butterfree","32","walk","time","day ","4","14","14"
"butterfree","32","walk","time","morning ","4","14","14"
"butterfree","32","walk","time","day ","1","14","14"
"butterfree","32","walk","time","morning ","1","14","14"
"butterfree","33","walk","time","day ","4","14","14"
"butterfree","33","walk","time","morning ","4","14","14"
"butterfree","33","walk","time","day ","1","14","14"
"butterfree","33","walk","time","morning ","1","14","14"
"butterfree","28","walk","time","morning ","5","7","7"
"butterfree","28","walk","time","day ","5","7","7"
"butterfree","28","walk","time","morning ","5","8","8"
"butterfree","28","walk","time","day ","5","8","8"
"butterfree","60","walk","time","morning ","5","7","7"
"butterfree","60","walk","time","morning ","5","7","7"
"butterfree","240","headbutt","","","5","10","10"
"butterfree","240","headbutt","","","5","10","10"
"butterfree","240","headbutt","","","5","10","10"
"weedle","380","walk","item","lunar wing","4","13","13"
"weedle","477","walk","item","green scarf","4","6","6"
"weedle","477","walk","item","power anklet","4","6","6"
"weedle","478","walk","item","max repel","4","10","10"
"weedle","478","walk","item","enigma stone","4","10","10"
"weedle","183","walk","time","day ","30","3","3"
"weedle","183","walk","time","morning ","30","3","3"
"weedle","183","walk","time","morning ","20","4","4"
"weedle","183","walk","time","day ","5","4","4"
"weedle","184","walk","time","day ","30","4","4"
"weedle","184","walk","time","morning ","30","4","4"
"weedle","184","walk","time","day ","5","5","5"
"weedle","165","walk","time","day ","30","5","5"
"weedle","165","walk","time","morning ","30","5","5"
"weedle","165","walk","time","day ","30","6","6"
"weedle","165","walk","time","morning ","20","5","5"
"weedle","165","headbutt","","","50","10","10"
"weedle","165","headbutt","","","15","10","10"
"weedle","165","headbutt","","","50","10","10"
"weedle","165","headbutt","","","15","10","10"
"weedle","165","headbutt","","","50","10","10"
"weedle","187","headbutt","","","50","10","10"
"weedle","187","headbutt","","","15","10","10"
"weedle","187","headbutt","","","50","10","10"
"weedle","187","headbutt","","","15","10","10"
"weedle","187","headbutt","","","50","10","10"
"weedle","188","headbutt","","","50","10","10"
"weedle","188","headbutt","","","15","10","10"
"weedle","188","headbutt","","","50","10","10"
"weedle","188","headbutt","","","15","10","10"
"weedle","188","headbutt","","","50","10","10"
"weedle","179","walk","time","day ","30","10","10"
"weedle","179","walk","time","morning ","30","10","10"
"weedle","179","walk","time","morning ","20","12","12"
"weedle","230","walk","","","20","10","10"
"weedle","230","walk","","","20","10","10"
"weedle","230","walk","","","10","10","10"
"weedle","230","walk","","","10","10","10"
"weedle","230","walk","","","10","12","12"
"weedle","230","walk","","","10","12","12"
"weedle","230","walk","","","5","12","12"
"weedle","230","walk","","","5","12","12"
"weedle","230","walk","","","4","10","10"
"weedle","230","walk","","","4","14","14"
"weedle","230","walk","","","1","10","10"
"weedle","230","walk","","","1","14","14"
"weedle","189","headbutt","","","50","10","10"
"weedle","189","headbutt","","","15","10","10"
"weedle","189","headbutt","","","50","10","10"
"weedle","189","headbutt","","","15","10","10"
"weedle","189","headbutt","","","50","10","10"
"weedle","190","headbutt","","","50","10","10"
"weedle","190","headbutt","","","15","10","10"
"weedle","190","headbutt","","","50","10","10"
"weedle","190","headbutt","","","15","10","10"
"weedle","190","headbutt","","","50","10","10"
"weedle","191","headbutt","","","50","10","10"
"weedle","191","headbutt","","","15","10","10"
"weedle","191","headbutt","","","50","10","10"
"weedle","191","headbutt","","","15","10","10"
"weedle","191","headbutt","","","50","10","10"
"weedle","192","headbutt","","","50","10","10"
"weedle","192","headbutt","","","15","10","10"
"weedle","192","headbutt","","","50","10","10"
"weedle","192","headbutt","","","15","10","10"
"weedle","192","headbutt","","","50","10","10"
"weedle","166","headbutt","","","50","10","10"
"weedle","166","headbutt","","","15","10","10"
"weedle","166","headbutt","","","50","10","10"
"weedle","166","headbutt","","","15","10","10"
"weedle","166","headbutt","","","50","10","10"
"weedle","34","headbutt","","","50","10","10"
"weedle","34","headbutt","","","15","10","10"
"weedle","34","headbutt","","","50","10","10"
"weedle","34","headbutt","","","15","10","10"
"weedle","34","headbutt","","","50","10","10"
"weedle","35","headbutt","","","50","10","10"
"weedle","35","headbutt","","","15","10","10"
"weedle","35","headbutt","","","50","10","10"
"weedle","35","headbutt","","","15","10","10"
"weedle","35","headbutt","","","50","10","10"
"weedle","27","walk","","","10","3","3"
"weedle","27","walk","","","4","4","4"
"weedle","27","walk","","","1","5","5"
"weedle","32","walk","","","20","7","7"
"weedle","33","walk","","","20","8","8"
"weedle","28","walk","time","day ","20","3","3"
"weedle","28","walk","time","morning ","10","3","3"
"weedle","28","walk","radio","off ","10","3","3"
"weedle","28","walk","time","day ","10","3","3"
"weedle","28","walk","radio","off ","10","3","3"
"weedle","28","walk","time","night ","10","5","5"
"weedle","28","walk","radio","off ","10","5","5"
"weedle","28","walk","","","1","4","4"
"weedle","60","walk","","","20","4","4"
"weedle","60","walk","","","15","3","3"
"weedle","60","walk","","","10","5","5"
"weedle","105","walk","","","10","6","6"
"weedle","240","headbutt","","","50","10","10"
"weedle","240","headbutt","","","15","10","10"
"weedle","240","headbutt","","","50","10","10"
"weedle","240","headbutt","","","15","10","10"
"weedle","240","headbutt","","","50","10","10"
"kakuna","380","walk","item","mystic water","4","12","12"
"kakuna","380","walk","item","shuca berry","4","12","12"
"kakuna","183","walk","time","day ","10","4","4"
"kakuna","183","walk","time","morning ","10","4","4"
"kakuna","183","walk","time","day ","4","5","5"
"kakuna","183","walk","time","day ","1","5","5"
"kakuna","184","walk","time","day ","10","5","5"
"kakuna","184","walk","time","morning ","10","5","5"
"kakuna","184","walk","time","day ","4","6","6"
"kakuna","184","walk","time","day ","1","6","6"
"kakuna","165","walk","time","morning ","30","6","6"
"kakuna","165","walk","time","day ","20","5","5"
"kakuna","165","walk","time","day ","10","6","6"
"kakuna","165","headbutt","","","15","10","10"
"kakuna","165","headbutt","","","15","10","10"
"kakuna","187","headbutt","","","15","10","10"
"kakuna","187","headbutt","","","15","10","10"
"kakuna","188","headbutt","","","15","10","10"
"kakuna","188","headbutt","","","15","10","10"
"kakuna","179","walk","time","day ","30","10","10"
"kakuna","179","walk","time","morning ","30","10","10"
"kakuna","189","headbutt","","","15","10","10"
"kakuna","189","headbutt","","","15","10","10"
"kakuna","190","headbutt","","","15","10","10"
"kakuna","190","headbutt","","","15","10","10"
"kakuna","191","headbutt","","","15","10","10"
"kakuna","191","headbutt","","","15","10","10"
"kakuna","192","headbutt","","","15","10","10"
"kakuna","192","headbutt","","","15","10","10"
"kakuna","166","headbutt","","","15","10","10"
"kakuna","166","headbutt","","","15","10","10"
"kakuna","34","headbutt","","","15","10","10"
"kakuna","34","headbutt","","","15","10","10"
"kakuna","35","headbutt","","","15","10","10"
"kakuna","35","headbutt","","","15","10","10"
"kakuna","27","walk","time","day ","20","5","5"
"kakuna","27","walk","time","morning ","20","5","5"
"kakuna","32","walk","","","20","8","8"
"kakuna","33","walk","","","20","9","9"
"kakuna","28","walk","time","night ","10","3","3"
"kakuna","28","walk","radio","off ","10","3","3"
"kakuna","28","walk","time","morning ","10","5","5"
"kakuna","28","walk","radio","off ","10","5","5"
"kakuna","28","walk","time","day ","10","5","5"
"kakuna","28","walk","radio","off ","10","5","5"
"kakuna","28","walk","time","morning ","10","5","5"
"kakuna","28","walk","radio","off ","10","5","5"
"kakuna","28","walk","time","day ","10","5","5"
"kakuna","28","walk","radio","off ","10","5","5"
"kakuna","28","walk","time","night ","1","7","7"
"kakuna","60","walk","","","20","5","5"
"kakuna","60","walk","","","10","4","4"
"kakuna","60","walk","","","10","6","6"
"kakuna","105","walk","","","20","9","9"
"kakuna","240","headbutt","","","15","10","10"
"kakuna","240","headbutt","","","15","10","10"
"beedrill","165","headbutt","","","5","10","10"
"beedrill","165","headbutt","","","5","10","10"
"beedrill","165","headbutt","","","5","10","10"
"beedrill","187","headbutt","","","5","10","10"
"beedrill","187","headbutt","","","5","10","10"
"beedrill","187","headbutt","","","5","10","10"
"beedrill","188","headbutt","","","5","10","10"
"beedrill","188","headbutt","","","5","10","10"
"beedrill","188","headbutt","","","5","10","10"
"beedrill","189","headbutt","","","5","10","10"
"beedrill","189","headbutt","","","5","10","10"
"beedrill","189","headbutt","","","5","10","10"
"beedrill","190","headbutt","","","5","10","10"
"beedrill","190","headbutt","","","5","10","10"
"beedrill","190","headbutt","","","5","10","10"
"beedrill","191","headbutt","","","5","10","10"
"beedrill","191","headbutt","","","5","10","10"
"beedrill","191","headbutt","","","5","10","10"
"beedrill","192","headbutt","","","5","10","10"
"beedrill","192","headbutt","","","5","10","10"
"beedrill","192","headbutt","","","5","10","10"
"beedrill","166","headbutt","","","5","10","10"
"beedrill","166","headbutt","","","5","10","10"
"beedrill","166","headbutt","","","5","10","10"
"beedrill","34","headbutt","","","5","10","10"
"beedrill","34","headbutt","","","5","10","10"
"beedrill","34","headbutt","","","5","10","10"
"beedrill","35","headbutt","","","5","10","10"
"beedrill","35","headbutt","","","5","10","10"
"beedrill","35","headbutt","","","5","10","10"
"beedrill","27","walk","time","morning ","10","7","7"
"beedrill","28","walk","time","morning ","5","7","7"
"beedrill","28","walk","time","morning ","5","7","7"
"beedrill","28","walk","time","night ","4","10","10"
"beedrill","60","walk","time","morning ","5","7","7"
"beedrill","60","walk","time","morning ","5","7","7"
"beedrill","240","headbutt","","","5","10","10"
"beedrill","240","headbutt","","","5","10","10"
"beedrill","240","headbutt","","","5","10","10"
"pidgey","509","walk","weather","cloudy","20","51","51"
"pidgey","509","walk","weather","snow","20","51","51"
"pidgey","182","walk","time","day ","30","2","2"
"pidgey","182","walk","time","morning ","30","2","2"
"pidgey","182","walk","time","morning ","20","3","3"
"pidgey","182","walk","time","day ","20","3","3"
"pidgey","182","walk","time","day ","4","4","4"
"pidgey","182","walk","time","morning ","4","4","4"
"pidgey","182","walk","time","day ","1","4","4"
"pidgey","182","walk","time","morning ","1","4","4"
"pidgey","183","walk","time","day ","30","2","2"
"pidgey","183","walk","time","morning ","30","2","2"
"pidgey","183","walk","time","day ","20","4","4"
"pidgey","183","walk","time","morning ","5","4","4"
"pidgey","183","walk","time","morning ","4","4","4"
"pidgey","183","walk","time","morning ","1","4","4"
"pidgey","184","walk","time","day ","30","3","3"
"pidgey","184","walk","time","morning ","30","3","3"
"pidgey","185","walk","time","day ","5","7","7"
"pidgey","185","walk","time","morning ","5","7","7"
"pidgey","165","walk","time","day ","5","7","7"
"pidgey","165","walk","time","morning ","5","7","7"
"pidgey","187","walk","time","day ","20","12","12"
"pidgey","187","walk","time","morning ","20","12","12"
"pidgey","188","walk","weather","sunny","5","14","14"
"pidgey","188","walk","time","day ","5","14","14"
"pidgey","188","walk","weather","cloudy","5","14","14"
"pidgey","188","walk","time","morning ","5","14","14"
"pidgey","188","walk","weather","sunny","5","14","14"
"pidgey","179","walk","time","morning ","10","12","12"
"pidgey","179","walk","time","day ","10","12","12"
"pidgey","179","walk","time","morning ","5","10","10"
"pidgey","179","walk","time","morning ","4","14","14"
"pidgey","179","walk","time","day ","4","14","14"
"pidgey","179","walk","time","day ","1","14","14"
"pidgey","179","walk","time","morning ","1","14","14"
"pidgey","189","walk","time","day ","20","14","14"
"pidgey","189","walk","time","morning ","20","13","13"
"pidgey","189","walk","time","morning ","4","15","15"
"pidgey","189","walk","time","morning ","1","15","15"
"pidgey","190","walk","time","morning ","30","13","13"
"pidgey","190","walk","time","day ","30","13","13"
"pidgey","190","walk","time","morning ","20","15","15"
"pidgey","190","walk","time","day ","20","15","15"
"pidgey","190","walk","time","morning ","5","15","15"
"pidgey","190","walk","time","morning ","4","15","15"
"pidgey","190","walk","time","morning ","1","15","15"
"pidgey","19","walk","","","20","25","25"
"pidgey","19","walk","","","15","23","23"
"pidgey","19","walk","","","5","27","27"
"pidgey","16","walk","","","20","3","3"
"pidgey","16","walk","","","10","2","2"
"pidgey","16","walk","","","10","3","3"
"pidgey","16","walk","","","5","3","3"
"pidgey","16","walk","","","4","4","4"
"pidgey","16","walk","","","1","5","5"
"pidgey","27","walk","","","20","3","3"
"pidgey","27","walk","","","15","4","4"
"pidgey","27","walk","","","10","5","5"
"pidgey","37","walk","","","20","6","6"
"pidgey","37","walk","","","15","7","7"
"pidgey","37","walk","","","10","8","8"
"pidgey","41","walk","","","20","13","13"
"pidgey","41","walk","","","15","15","15"
"pidgey","41","walk","","","5","16","16"
"pidgey","42","walk","","","20","13","13"
"pidgey","42","walk","","","15","15","15"
"pidgey","42","walk","","","5","16","16"
"pidgey","43","walk","","","20","19","19"
"pidgey","43","walk","","","10","22","22"
"pidgey","44","walk","","","20","18","18"
"pidgey","44","walk","","","10","20","20"
"pidgey","18","walk","","","20","16","16"
"pidgey","18","walk","","","15","18","18"
"pidgey","20","walk","","","20","25","25"
"pidgey","20","walk","","","15","27","27"
"pidgey","21","walk","","","20","26","26"
"pidgey","22","walk","","","15","23","23"
"pidgey","30","walk","","","20","23","23"
"pidgey","30","walk","","","10","21","21"
"pidgey","32","walk","","","15","12","12"
"pidgey","32","walk","","","5","13","13"
"pidgey","33","walk","","","15","13","13"
"pidgey","28","walk","time","morning ","20","3","3"
"pidgey","28","walk","time","day ","20","3","3"
"pidgey","28","walk","time","morning ","10","3","3"
"pidgey","28","walk","radio","off ","10","3","3"
"pidgey","28","walk","time","day ","10","3","3"
"pidgey","28","walk","radio","off ","10","3","3"
"pidgey","28","walk","time","day ","10","5","5"
"pidgey","28","walk","radio","off ","10","5","5"
"pidgey","28","walk","time","day ","10","5","5"
"pidgey","28","walk","radio","off ","10","5","5"
"pidgey","60","walk","","","10","4","4"
"pidgey","60","walk","","","10","6","6"
"pidgey","60","walk","","","4","8","8"
"pidgey","100","walk","","","10","32","32"
"pidgey","120","walk","","","20","32","32"
"pidgey","120","walk","","","10","29","29"
"pidgey","124","walk","","","20","44","44"
"pidgeotto","190","walk","time","day ","5","15","15"
"pidgeotto","191","walk","time","day ","10","16","16"
"pidgeotto","191","walk","time","morning ","10","16","16"
"pidgeotto","192","walk","time","day ","10","16","16"
"pidgeotto","192","walk","time","morning ","10","16","16"
"pidgeotto","196","walk","time","day ","20","17","17"
"pidgeotto","196","walk","time","morning ","20","17","17"
"pidgeotto","196","walk","time","morning ","4","17","17"
"pidgeotto","196","walk","time","morning ","1","17","17"
"pidgeotto","19","walk","","","10","28","28"
"pidgeotto","27","walk","time","day ","5","7","7"
"pidgeotto","27","walk","time","morning ","5","7","7"
"pidgeotto","41","walk","","","5","17","17"
"pidgeotto","42","walk","","","5","17","17"
"pidgeotto","43","walk","","","10","24","24"
"pidgeotto","44","walk","","","10","24","24"
"pidgeotto","18","walk","","","5","18","18"
"pidgeotto","18","walk","","","5","20","20"
"pidgeotto","20","walk","","","15","28","28"
"pidgeotto","21","walk","","","4","28","28"
"pidgeotto","21","walk","","","1","30","30"
"pidgeotto","22","walk","","","4","28","28"
"pidgeotto","22","walk","","","1","30","30"
"pidgeotto","30","walk","","","10","30","30"
"pidgeotto","30","walk","","","5","32","32"
"pidgeotto","32","walk","","","1","17","17"
"pidgeotto","33","walk","","","1","17","17"
"pidgeotto","28","walk","time","morning ","4","7","7"
"pidgeotto","28","walk","time","day ","4","7","7"
"pidgeotto","28","walk","time","day ","4","10","10"
"pidgeotto","28","walk","time","morning ","1","7","7"
"pidgeotto","28","walk","time","day ","1","7","7"
"pidgeotto","60","walk","","","1","9","9"
"pidgeotto","100","walk","","","20","37","37"
"pidgeotto","120","walk","","","10","34","34"
"pidgeotto","120","walk","","","4","37","37"
"pidgeotto","120","walk","","","1","40","40"
"pidgeotto","124","walk","","","10","48","48"
"pidgeotto","124","walk","","","4","50","50"
"pidgeotto","124","walk","","","1","50","50"
"rattata","506","walk","","","4","20","20"
"rattata","506","walk","radar","off ","1","22","22"
"rattata","515","walk","","","4","20","20"
"rattata","515","walk","radar","off ","1","22","22"
"rattata","182","walk","time","night ","10","2","2"
"rattata","182","walk","time","day ","5","4","4"
"rattata","182","walk","time","morning ","5","4","4"
"rattata","182","walk","time","night ","5","4","4"
"rattata","183","walk","time","night ","30","3","3"
"rattata","183","walk","time","night ","10","4","4"
"rattata","184","walk","time","night ","30","4","4"
"rattata","184","walk","time","night ","10","5","5"
"rattata","211","walk","time","day ","30","3","3"
"rattata","211","walk","time","morning ","30","3","3"
"rattata","211","walk","time","morning ","30","4","4"
"rattata","211","walk","time","day ","30","4","4"
"rattata","211","walk","time","morning ","20","5","5"
"rattata","211","walk","time","day ","20","5","5"
"rattata","211","walk","time","night ","10","3","3"
"rattata","211","walk","time","morning ","10","3","3"
"rattata","211","walk","time","day ","10","3","3"
"rattata","211","walk","time","day ","5","6","6"
"rattata","211","walk","time","morning ","5","6","6"
"rattata","211","walk","time","morning ","4","5","5"
"rattata","211","walk","time","day ","4","5","5"
"rattata","211","walk","time","night ","4","5","5"
"rattata","211","walk","time","night ","1","5","5"
"rattata","211","walk","time","morning ","1","5","5"
"rattata","211","walk","time","day ","1","5","5"
"rattata","212","walk","time","day ","30","3","3"
"rattata","212","walk","time","morning ","30","3","3"
"rattata","212","walk","time","morning ","30","4","4"
"rattata","212","walk","time","day ","30","4","4"
"rattata","212","walk","time","morning ","20","5","5"
"rattata","212","walk","time","day ","20","5","5"
"rattata","212","walk","time","night ","10","3","3"
"rattata","212","walk","time","morning ","10","3","3"
"rattata","212","walk","time","day ","10","3","3"
"rattata","212","walk","time","day ","5","6","6"
"rattata","212","walk","time","morning ","5","6","6"
"rattata","212","walk","time","morning ","4","5","5"
"rattata","212","walk","time","day ","4","5","5"
"rattata","212","walk","time","night ","4","5","5"
"rattata","212","walk","time","night ","1","5","5"
"rattata","212","walk","time","morning ","1","5","5"
"rattata","212","walk","time","day ","1","5","5"
"rattata","185","walk","time","night ","30","4","4"
"rattata","185","walk","time","day ","30","4","4"
"rattata","185","walk","time","morning ","30","4","4"
"rattata","185","walk","time","day ","5","6","6"
"rattata","185","walk","time","morning ","5","6","6"
"rattata","185","walk","time","day ","4","8","8"
"rattata","185","walk","time","day ","1","8","8"
"rattata","225","walk","","","10","4","4"
"rattata","226","walk","","","4","6","6"
"rattata","226","walk","","","1","6","6"
"rattata","227","walk","","","5","20","20"
"rattata","186","walk","time","day ","30","7","7"
"rattata","186","walk","time","morning ","30","7","7"
"rattata","186","walk","time","night ","30","7","7"
"rattata","186","walk","time","night ","20","6","6"
"rattata","186","walk","time","morning ","10","6","6"
"rattata","186","walk","time","night ","10","6","6"
"rattata","186","walk","time","day ","10","6","6"
"rattata","186","walk","time","day ","4","8","8"
"rattata","186","walk","time","day ","1","8","8"
"rattata","187","walk","","","30","11","11"
"rattata","187","walk","","","5","13","13"
"rattata","150","walk","","","30","13","13"
"rattata","150","walk","","","20","15","15"
"rattata","151","walk","time","day ","30","14","14"
"rattata","151","walk","time","morning ","30","14","14"
"rattata","151","walk","time","night ","30","14","14"
"rattata","151","walk","time","morning ","10","16","16"
"rattata","151","walk","time","night ","10","16","16"
"rattata","213","walk","time","morning ","30","20","20"
"rattata","213","walk","time","day ","30","20","20"
"rattata","213","walk","time","morning ","30","21","21"
"rattata","213","walk","time","day ","30","21","21"
"rattata","213","walk","time","morning ","20","22","22"
"rattata","213","walk","time","day ","20","22","22"
"rattata","213","walk","time","night ","10","22","22"
"rattata","213","walk","time","day ","10","22","22"
"rattata","213","walk","time","morning ","10","22","22"
"rattata","213","walk","time","night ","5","23","23"
"rattata","213","walk","time","morning ","5","23","23"
"rattata","213","walk","time","day ","5","23","23"
"rattata","213","walk","time","day ","4","24","24"
"rattata","213","walk","time","morning ","4","24","24"
