storeID,trainerID,itemID,amount,cost,discount,date_time
15,526,54,9,2640,98,2022-08-25
3,5,409,22,173,7,2023-03-11
29,321,46,41,372,20,2022-10-09
14,418,279,16,4554,79,2022-12-28
24,520,87,43,4793,60,2022-12-21
38,132,219,13,60,78,2023-01-13
10,107,13,25,4140,47,2022-08-22
3,219,457,10,2199,17,2022-12-03
8,14,153,1,4153,99,2023-02-02
32,532,115,33,177,1,2022-06-29
4,94,505,37,541,79,2022-08-11
21,349,487,26,364,73,2022-10-06
13,343,353,2,2459,26,2023-02-04
13,129,246,35,602,85,2022-07-23
17,456,245,16,1877,30,2022-11-12
13,400,89,9,4111,56,2022-12-06
9,118,137,3,4285,50,2022-09-14
39,304,369,22,1662,65,2022-07-18
34,242,94,38,1568,34,2023-04-12
9,256,237,41,2973,13,2022-10-26
20,387,6,50,3060,79,2022-07-12
40,28,81,31,2797,26,2022-11-20
21,372,93,16,1826,99,2022-12-29
32,533,355,15,2759,83,2022-07-16
28,341,9,46,3121,49,2022-06-16
39,372,66,12,4277,90,2022-08-06
31,381,64,34,2303,82,2023-04-23
29,272,143,17,4980,96,2022-07-16
18,192,302,40,1596,57,2023-03-27
14,74,281,12,4816,30,2022-05-09
29,528,472,15,3899,78,2023-03-08
10,95,292,5,3181,47,2023-02-24
39,153,69,30,2001,28,2022-07-04
30,154,152,35,1238,32,2023-03-18
5,101,334,21,2845,53,2022-10-04
22,391,562,36,3584,89,2022-09-27
28,246,530,46,848,71,2022-12-03
31,296,127,38,3891,15,2023-01-31
9,73,208,31,2848,30,2022-07-28
6,8,368,45,4578,3,2022-06-17
5,518,216,11,3846,35,2022-05-07
8,441,524,20,3411,33,2022-12-16
37,463,451,2,3180,90,2023-04-13
35,387,115,49,1708,7,2022-11-19
15,500,400,1,954,27,2023-03-30
20,79,232,37,4276,17,2022-11-22
23,169,435,37,263,79,2022-09-03
36,369,368,28,4678,97,2023-03-11
20,377,344,49,390,62,2022-06-12
13,135,233,2,4801,36,2022-07-28
7,361,383,33,4539,10,2023-02-17
2,258,58,16,2578,93,2022-11-02
24,365,4,24,1009,93,2023-01-11
15,293,556,13,4419,14,2022-09-04
24,294,363,14,1923,49,2022-06-25
21,354,441,40,2861,9,2023-04-10
0,164,202,27,1244,44,2023-04-25
17,129,310,25,3508,23,2023-02-04
22,244,115,30,3828,47,2023-01-30
29,80,360,24,1782,100,2022-09-29
9,455,235,25,1329,48,2023-02-15
9,259,254,21,3231,83,2023-04-12
1,79,407,24,857,87,2022-07-17
15,6,469,11,1246,29,2022-12-01
28,431,242,21,6,77,2022-07-27
33,517,463,49,4242,43,2023-01-13
4,435,530,2,4176,71,2022-12-17
11,475,235,11,2209,16,2023-04-27
19,175,299,5,814,20,2022-09-26
30,174,463,2,2163,64,2022-06-19
36,225,218,31,294,16,2022-09-17
17,140,274,31,3330,16,2022-11-17
13,290,77,25,2375,6,2023-04-14
26,119,552,40,84,39,2023-01-20
22,9,186,36,3835,65,2023-01-11
12,61,73,27,2317,20,2022-05-31
12,70,295,50,1065,56,2023-01-15
9,503,525,24,3502,37,2022-08-09
12,248,310,33,1781,84,2023-04-21
39,135,326,19,4111,58,2022-09-08
17,15,148,15,1453,4,2023-03-25
27,207,420,38,2219,43,2022-10-10
17,316,137,30,1131,42,2023-04-05
32,349,528,19,4461,45,2022-08-24
39,66,242,29,700,48,2023-03-07
17,236,34,19,4531,65,2022-08-30
5,113,466,16,4531,79,2022-09-03
29,55,450,12,904,89,2022-06-29
27,432,556,42,1561,1,2022-08-17
16,305,495,33,600,37,2022-11-01
21,229,299,23,619,7,2022-09-11
1,238,264,10,2866,78,2023-02-19
34,512,187,47,2259,87,2022-05-02
3,266,479,29,624,40,2022-08-31
6,406,457,11,2745,66,2022-06-12
39,335,250,20,3673,44,2022-08-24
21,38,302,5,4198,37,2022-08-27
22,25,419,14,978,64,2023-02-17
2,389,166,1,1071,58,2022-07-24
37,187,521,26,4612,40,2022-09-18
14,97,377,12,3593,83,2023-01-06
0,527,92,37,2258,50,2022-06-25
22,195,336,39,14,41,2023-03-19
21,444,464,37,1750,18,2022-11-21
17,115,272,29,3113,94,2022-09-13
0,255,476,21,2088,88,2022-07-26
34,397,417,49,4908,6,2022-09-23
32,35,524,2,3957,71,2022-10-01
28,93,331,20,3176,44,2022-07-20
6,48,242,28,3685,6,2023-04-25
6,456,27,43,1421,36,2022-11-07
16,402,96,42,102,22,2022-12-10
12,466,295,24,1624,36,2022-09-05
4,276,168,22,163,15,2023-03-16
14,326,265,42,2185,86,2022-11-24
27,347,63,7,3586,28,2022-06-08
18,25,491,7,1113,80,2022-11-29
15,2,127,15,3307,26,2022-10-21
16,442,475,29,3982,3,2023-03-22
19,222,524,2,1030,12,2022-05-14
36,392,458,13,4411,79,2022-07-18
23,250,551,36,3759,2,2022-11-30
8,337,491,34,1827,93,2023-04-26
13,346,32,41,4005,20,2022-12-07
1,159,541,40,43,36,2022-05-27
8,489,489,22,3307,46,2022-11-23
31,196,386,23,2192,9,2023-03-18
40,490,277,33,3828,24,2023-02-21
7,17,62,29,1835,92,2023-02-20
18,194,167,43,1655,64,2022-07-22
8,243,140,21,2246,5,2022-09-22
27,230,186,2,1688,10,2022-07-01
32,431,223,18,4639,96,2022-09-09
5,216,156,31,4630,56,2023-02-12
16,327,131,34,3653,82,2022-07-03
7,15,102,25,709,25,2023-01-18
21,441,121,10,2569,72,2023-04-26
2,211,365,34,209,71,2022-10-05
37,203,467,32,2263,50,2023-04-15
36,510,46,49,1061,17,2023-01-01
25,493,360,29,1889,4,2023-04-28
16,410,502,49,4882,86,2022-12-12
30,474,99,29,3678,95,2023-04-27
23,282,408,31,1705,65,2022-09-03
22,19,235,39,3627,43,2022-11-07
15,167,149,30,2911,100,2022-05-03
5,532,323,5,2473,7,2023-02-05
14,61,527,10,593,30,2022-10-05
38,103,390,12,4574,34,2022-07-02
15,511,130,12,436,7,2022-06-19
27,147,432,15,2010,100,2023-02-26
39,309,529,3,3282,71,2022-07-05
25,31,419,37,1910,87,2022-10-17
29,123,278,9,4899,59,2022-12-26
33,159,174,35,502,2,2022-11-30
5,62,327,5,1890,81,2023-01-01
6,314,78,20,3065,55,2022-08-06
4,163,375,39,4146,41,2022-05-10
33,174,60,7,3495,51,2023-04-07
21,140,265,40,2446,2,2022-12-17
9,480,405,33,4242,34,2022-06-09
4,524,296,12,178,25,2023-02-28
31,459,102,21,1371,25,2022-11-06
12,423,367,31,3530,52,2022-07-26
21,6,341,23,1385,73,2022-09-22
39,21,553,13,1313,23,2022-12-22
7,426,164,24,2857,3,2023-01-24
13,167,423,39,3762,13,2022-11-20
13,521,105,43,1157,89,2022-07-14
3,241,17,16,2088,54,2023-03-08
30,246,45,19,3226,29,2022-11-08
40,301,279,49,4092,3,2022-11-07
30,424,426,38,1018,33,2022-10-05
33,169,55,42,1042,20,2022-10-03
10,241,313,35,4892,41,2023-02-13
35,134,393,9,4276,30,2022-09-23
31,244,384,34,1594,97,2023-01-11
23,301,290,32,4822,34,2022-07-18
18,41,413,35,4636,73,2023-04-19
0,425,382,18,3476,65,2022-08-14
32,52,380,3,2719,36,2023-01-16
37,249,536,22,583,74,2023-04-05
27,269,499,43,2296,64,2022-12-01
5,157,529,41,4663,46,2022-06-13
25,436,426,15,849,3,2022-06-11
28,505,525,1,3172,91,2023-02-18
4,527,540,48,1449,17,2022-07-21
24,261,318,32,2713,51,2022-09-19
17,89,269,16,2246,92,2022-10-01
38,33,534,2,2261,33,2022-07-20
26,245,91,42,4365,52,2022-09-29
0,362,36,49,3820,1,2023-03-15
15,328,458,25,50,78,2022-12-29
5,536,461,1,2362,22,2022-10-23
1,401,391,4,1009,51,2022-07-16
9,489,40,23,3866,6,2022-12-03
27,298,51,32,57,61,2023-04-15
13,289,124,46,3060,95,2023-04-16
15,245,472,47,1797,50,2022-07-02
11,341,459,37,4792,48,2022-05-07
36,223,341,14,1771,82,2022-07-25
18,462,382,4,3542,7,2022-10-19
26,505,374,20,1503,40,2022-10-26
39,324,513,25,74,73,2023-04-10
36,459,379,44,3600,59,2022-05-04
37,50,197,26,4136,7,2022-09-20
18,400,305,6,3126,58,2022-06-11
34,399,95,20,2949,32,2022-06-06
24,510,86,27,4090,70,2022-12-16
20,381,549,36,549,71,2022-07-15
22,108,275,10,724,13,2022-09-01
13,258,312,15,855,47,2023-03-04
37,85,353,27,4270,33,2022-11-17
2,314,298,13,1137,63,2022-09-12
20,457,111,9,1776,57,2023-02-20
36,197,401,20,1889,78,2022-05-05
27,431,232,21,3522,69,2022-06-03
9,219,169,17,234,3,2023-03-13
13,496,527,27,2508,40,2022-10-12
28,330,554,19,1847,82,2022-05-10
28,270,305,40,3272,73,2022-11-19
37,15,547,32,61,74,2022-12-11
2,5,96,1,4543,74,2022-08-30
33,58,202,16,244,1,2023-01-18
3,488,273,43,108,98,2022-09-10
35,441,3,33,4111,45,2023-03-26
8,234,354,35,4246,49,2023-01-03
2,423,181,12,2524,76,2022-05-17
8,89,469,47,3093,52,2022-07-02
13,355,390,47,2233,34,2023-02-03
11,161,83,17,1898,99,2023-02-04
2,396,225,43,1459,84,2023-03-19
14,126,227,36,611,93,2022-09-24
23,147,215,4,1456,24,2023-03-25
4,448,492,1,3939,62,2022-12-26
12,447,508,12,1698,100,2022-09-20
4,158,134,1,356,62,2022-09-14
18,87,247,34,1389,86,2022-12-16
39,351,214,25,4358,86,2022-05-08
7,61,307,31,2124,45,2022-11-21
33,171,444,49,419,27,2022-11-30
31,384,32,3,2765,59,2022-06-24
7,362,516,49,3786,58,2022-08-02
13,389,239,46,886,71,2023-02-08
24,454,262,40,4886,6,2023-03-08
19,284,45,18,15,53,2023-03-24
26,4,163,11,2163,55,2022-12-31
1,510,91,42,4217,40,2022-05-27
35,495,482,44,3242,45,2022-07-03
22,120,562,19,4587,63,2022-09-04
7,32,549,33,1272,43,2022-10-28
26,344,478,32,3172,25,2022-09-15
17,436,301,6,3385,60,2023-04-06
10,149,370,25,1418,63,2022-12-14
30,376,92,1,4998,92,2023-04-14
27,412,317,25,4369,48,2022-07-03
20,165,72,36,3685,4,2022-11-11
15,167,292,27,529,13,2022-08-30
17,231,499,25,2744,44,2022-07-22
12,306,192,42,107,21,2022-10-27
17,501,459,15,4508,94,2022-07-01
12,16,113,17,4667,58,2022-12-02
38,92,177,27,2315,81,2023-03-15
35,493,48,6,786,41,2022-10-27
4,396,448,33,1062,4,2022-08-31
24,117,240,28,3225,54,2023-01-29
12,11,15,8,955,86,2022-11-19
30,423,528,49,1846,51,2023-03-21
15,46,205,31,4303,50,2022-07-12
11,265,560,16,2371,44,2023-03-08
11,421,361,28,684,80,2022-07-15
35,311,472,29,3289,40,2023-03-19
35,407,99,45,4007,28,2022-11-29
40,25,204,38,4284,34,2022-08-05
2,336,283,32,4763,82,2022-09-28
12,519,281,18,1346,67,2022-11-29
22,477,126,49,2756,12,2022-05-25
5,231,525,4,1450,12,2022-11-25
16,402,287,33,2491,34,2023-01-09
21,244,465,43,2135,13,2023-04-18
33,436,190,35,2110,89,2022-09-11
6,89,368,8,4831,69,2022-10-12
9,47,28,37,4111,54,2022-11-24
18,222,162,20,4456,97,2023-03-06
31,248,168,38,1483,43,2022-12-13
12,151,370,1,4989,31,2022-07-05
19,77,174,12,4022,54,2023-04-23
18,50,282,36,2800,96,2022-12-19
25,533,486,32,2528,14,2023-04-20
7,2,131,10,1408,16,2022-07-27
40,95,108,44,2824,66,2022-10-05
35,288,206,4,522,64,2023-04-13
37,290,125,18,4724,93,2022-10-31
29,161,366,27,1206,98,2022-06-27
27,2,483,49,4707,95,2022-10-16
36,83,166,27,3167,9,2022-07-07
21,528,9,1,4890,52,2022-07-14
15,276,254,1,4623,70,2022-06-04
36,13,271,22,2909,78,2023-01-17
16,303,142,24,2774,33,2022-09-05
3,153,165,47,1593,10,2022-08-26
33,431,66,35,1034,83,2022-08-20
38,501,246,3,3484,77,2022-11-03
17,217,81,36,4530,98,2022-12-02
9,311,489,18,940,92,2022-09-05
5,527,436,12,4831,57,2023-02-26
15,351,58,16,1870,17,2022-09-02
4,384,114,34,3893,43,2022-07-20
27,251,44,11,753,91,2022-07-09
21,92,542,27,453,53,2022-08-26
8,34,466,10,3513,28,2023-01-27
38,297,19,40,352,30,2022-06-03
19,72,52,48,818,70,2022-08-07
25,35,354,31,2634,96,2022-08-07
30,80,323,47,2369,18,2023-02-21
38,267,89,7,2488,79,2022-12-22
33,194,50,2,3281,41,2023-01-23
6,371,554,43,751,37,2022-10-12
7,416,236,31,653,37,2022-06-22
35,180,230,16,4166,31,2022-08-25
35,130,447,17,1152,84,2023-02-22
9,455,179,19,110,40,2023-02-18
37,474,300,30,476,37,2022-05-25
9,502,357,28,3448,85,2022-10-06
36,146,87,32,3680,55,2022-10-14
40,123,33,9,4988,39,2023-02-11
15,340,307,7,2655,38,2022-10-11
27,266,505,27,3419,3,2022-10-14
15,34,132,37,2527,85,2022-07-05
21,347,330,28,3561,38,2022-07-01
31,157,125,5,1478,14,2022-07-20
30,409,144,11,1869,60,2022-05-22
27,35,399,44,4864,72,2022-08-13
0,340,501,4,3640,68,2023-04-01
31,195,411,26,3120,89,2022-07-22
35,103,92,28,4175,55,2022-10-10
33,512,517,10,3450,45,2022-09-17
29,295,412,32,2851,74,2022-11-19
1,470,122,15,1298,45,2022-10-13
23,332,31,41,1128,20,2022-11-26
20,291,145,21,3071,94,2022-12-24
37,112,504,5,236,38,2022-12-15
30,333,122,23,213,73,2023-02-16
12,478,20,4,4401,77,2022-10-14
31,139,403,6,3435,98,2022-11-08
17,194,242,16,2625,35,2022-05-01
31,153,263,43,4186,66,2022-09-03
29,178,82,28,1305,4,2022-07-13
1,185,224,35,932,64,2023-03-04
10,171,207,2,2045,17,2022-12-13
4,127,243,46,4785,13,2022-09-02
35,250,90,10,2060,2,2022-10-25
7,199,487,19,4374,24,2022-06-02
6,532,506,43,2403,80,2022-05-25
30,250,271,31,1216,32,2023-03-13
9,469,203,40,1685,71,2022-08-23
3,205,68,6,28,73,2022-12-26
8,437,452,2,1251,42,2022-05-04
29,275,531,6,61,4,2023-03-18
25,234,218,23,3089,75,2022-06-23
32,329,193,20,2292,32,2023-02-25
39,85,498,46,3973,36,2023-02-05
2,533,287,38,2625,91,2023-03-07
37,305,317,39,2827,85,2022-08-22
27,245,518,25,4335,48,2022-07-20
12,192,197,24,2445,7,2022-08-27
13,453,322,23,4117,24,2022-05-28
35,82,223,40,927,82,2022-05-01
5,535,28,14,2243,91,2022-05-20
20,22,288,12,3631,36,2023-03-14
13,187,494,29,756,37,2022-06-06
13,473,503,28,4631,82,2023-01-06
26,199,131,46,1645,63,2022-07-21
33,532,20,27,4788,4,2023-03-28
35,382,417,40,2709,87,2022-08-28
1,362,433,16,4919,48,2023-01-19
14,456,523,20,56,57,2022-12-03
36,313,47,19,4517,59,2023-02-24
34,294,502,49,1622,77,2023-04-19
12,401,294,2,2412,83,2022-06-19
36,402,509,48,3047,95,2022-11-24
3,41,13,23,3430,97,2022-05-08
36,129,322,20,2817,72,2022-06-01
24,217,453,40,2712,15,2022-09-18
8,511,42,1,429,77,2023-04-18
33,365,307,9,1850,10,2022-07-22
3,119,216,37,3994,53,2023-01-06
5,402,184,47,325,20,2022-08-04
19,415,231,44,3667,25,2022-05-06
16,309,534,24,4628,2,2023-02-20
15,329,357,42,448,32,2022-10-17
1,135,444,19,1218,87,2023-01-09
32,139,244,24,1579,66,2022-05-09
36,172,259,43,4501,87,2023-04-17
17,58,226,9,1096,97,2023-01-05
29,349,358,29,1944,15,2023-03-26
8,133,515,1,4445,83,2022-08-24
34,24,343,12,242,44,2022-11-29
2,391,187,29,3726,24,2022-12-14
22,463,175,12,4719,6,2023-01-19
36,462,542,37,3083,84,2023-04-26
33,296,161,25,2176,82,2022-09-19
13,84,384,16,2693,34,2022-05-20
20,155,307,34,2068,50,2022-09-25
23,137,495,31,384,3,2022-12-08
7,305,287,2,2097,50,2023-02-13
10,64,126,37,3186,19,2022-05-28
23,199,451,21,4114,60,2022-06-15
20,246,437,26,927,9,2022-11-18
9,295,129,16,2830,42,2022-10-17
1,245,387,17,4038,8,2023-01-09
9,468,386,35,1395,60,2023-02-16
4,473,300,42,3728,52,2022-08-24
27,224,306,2,533,71,2023-03-03
8,333,1,46,2465,86,2023-04-03
10,49,546,39,4146,10,2023-02-16
31,362,348,12,2249,93,2022-05-07
1,377,79,31,4703,62,2023-03-28
0,476,52,9,649,49,2022-11-07
40,291,118,34,3159,61,2022-10-24
28,275,109,36,1093,99,2023-02-05
4,307,376,18,1688,63,2023-04-05
38,497,355,28,877,40,2023-02-01
15,42,218,38,1160,85,2022-12-03
15,192,514,31,1006,22,2022-06-24
29,58,42,39,74,96,2023-02-07
13,428,322,41,2061,12,2022-11-10
18,418,232,42,875,84,2023-04-09
28,508,429,7,15,82,2022-08-05
9,428,351,5,881,37,2023-03-25
33,526,214,10,4062,77,2023-03-30
35,452,221,7,356,3,2022-07-26
0,353,483,3,2184,64,2023-01-28
5,280,137,1,4138,72,2022-05-23
0,128,21,44,3427,31,2022-08-26
19,427,243,4,3947,7,2022-07-07
13,134,393,19,178,97,2022-05-10
23,377,370,42,2910,59,2022-11-05
33,173,160,11,4478,48,2022-12-06
27,336,124,37,572,59,2022-12-10
28,38,46,43,2312,80,2022-12-25
13,458,552,27,4118,84,2022-07-18
23,256,53,23,2960,18,2022-08-06
19,475,179,6,4998,60,2023-02-02
26,467,360,7,2996,85,2022-09-28
6,124,378,13,1065,48,2023-01-15
10,427,405,8,596,98,2023-02-19
15,291,417,5,4048,76,2023-04-21
4,44,476,33,3270,95,2023-01-03
19,90,100,10,3566,3,2022-07-05
26,302,456,26,3665,46,2022-09-01
34,382,406,10,4567,51,2022-05-31
0,170,273,12,2927,11,2022-08-26
12,68,548,18,4848,3,2022-08-06
26,347,210,26,1021,11,2022-06-27
30,269,464,45,656,7,2023-03-27
0,291,528,21,1507,85,2022-06-22
5,388,498,48,2757,43,2022-12-16
27,478,328,14,884,57,2023-04-17
10,152,371,38,4936,34,2023-02-26
22,494,108,31,1059,34,2022-11-12
20,490,271,15,1624,2,2022-07-04
27,28,383,28,3442,86,2022-09-23
30,10,244,47,1349,99,2023-01-01
4,276,77,1,3834,56,2023-01-25
40,341,540,37,2687,38,2022-05-30
27,435,429,31,194,28,2022-07-17
18,396,410,40,2760,16,2023-02-07
25,404,352,16,4107,45,2022-08-24
3,278,414,36,3258,48,2023-04-12
35,13,237,48,2369,2,2023-04-29
6,26,493,16,3732,23,2022-07-27
31,448,552,40,4634,41,2023-02-26
0,373,466,11,4684,24,2022-06-20
31,252,539,17,4191,64,2022-07-12
16,56,19,1,2238,32,2023-01-15
6,104,173,16,1346,70,2022-07-06
30,342,206,42,1437,27,2023-03-09
11,160,29,21,4378,90,2022-08-13
0,470,434,9,3464,37,2023-02-26
24,68,554,23,2674,53,2023-01-05
27,426,37,8,302,31,2022-07-07
14,317,485,40,1371,36,2022-04-30
20,467,163,3,1844,50,2022-12-06
37,196,456,4,1244,63,2022-07-10
35,406,123,5,4714,93,2022-05-29
39,296,3,18,2457,49,2022-08-03
40,241,297,20,140,38,2022-11-04
14,76,193,45,302,73,2022-07-18
11,207,123,5,616,54,2022-07-25
0,518,30,32,4782,61,2022-07-05
34,110,296,18,4089,2,2022-04-30
12,336,550,30,3400,55,2022-08-25
37,453,19,4,1961,23,2022-07-10
7,476,327,50,775,21,2023-03-26
6,198,248,46,4360,75,2022-09-28
6,30,539,9,1472,22,2023-02-23
32,206,357,5,1173,77,2023-02-22
37,214,230,34,4117,11,2022-10-20
38,221,495,49,1346,40,2023-02-16
8,5,411,50,2374,1,2023-03-17
24,509,242,43,1755,33,2023-02-26
24,504,59,39,4825,71,2023-03-13
5,167,501,42,4534,85,2023-04-06
23,4,466,44,1003,26,2023-02-11
15,210,3,37,4966,7,2022-06-11
15,307,396,3,3060,12,2022-08-26
34,418,299,33,468,41,2023-02-15
16,263,335,30,244,36,2023-01-28
10,12,413,12,4984,48,2022-09-02
6,510,523,41,4383,98,2022-12-04
5,223,378,34,2952,9,2022-09-13
39,86,363,30,2309,35,2023-04-28
16,201,347,24,2833,45,2022-09-23
14,92,275,27,3666,81,2022-08-23
12,301,272,21,1394,64,2023-04-25
15,290,165,37,4412,34,2022-08-17
8,130,232,17,4658,70,2022-12-03
29,262,175,22,431,37,2022-05-25
9,127,34,41,973,97,2022-06-15
25,460,475,39,1767,16,2022-06-03
11,341,402,7,968,67,2022-10-24
35,326,149,3,623,67,2022-07-28
40,464,437,8,3066,70,2023-01-31
0,365,350,5,4967,68,2022-08-03
8,141,318,39,2118,66,2023-03-18
4,329,97,48,4670,1,2023-02-10
38,29,327,21,431,40,2022-12-14
13,151,226,40,4301,51,2022-08-07
21,306,56,31,2984,82,2022-11-16
20,507,165,26,4748,67,2022-05-29
27,136,511,31,1411,99,2022-06-15
11,351,261,2,3515,41,2023-03-31
28,521,96,14,2837,60,2023-04-05
1,466,25,12,4661,26,2022-09-27
10,294,399,1,2403,87,2022-07-22
9,304,393,35,1774,99,2023-03-05
2,217,441,11,1388,88,2022-11-06
22,42,295,10,415,83,2022-08-08
14,38,355,26,1842,92,2022-10-06
5,307,372,39,2710,52,2022-07-18
25,339,38,30,10,63,2023-02-04
7,417,228,19,629,59,2023-04-18
39,446,95,14,1142,65,2023-02-12
16,378,324,11,3350,59,2023-04-12
15,233,189,8,2451,58,2023-04-11
8,290,64,23,2037,95,2022-08-12
10,404,431,44,3991,53,2022-05-18
36,427,493,29,2955,74,2022-09-06
10,162,359,47,3848,37,2022-10-04
24,237,437,42,94,89,2023-04-14
24,174,513,9,4102,74,2022-08-09
40,357,22,22,3201,5,2022-08-14
26,345,513,39,3593,62,2022-12-19
11,92,35,28,2146,19,2022-07-12
11,94,357,38,1481,15,2023-02-22
13,181,41,46,3245,3,2022-11-28
35,149,220,32,3776,57,2022-05-19
9,505,354,49,664,58,2022-11-21
28,113,430,13,1067,38,2022-07-12
17,172,333,50,844,93,2023-03-27
40,195,259,19,2896,19,2023-04-14
27,360,162,37,4289,25,2023-03-23
15,372,284,48,4825,11,2022-06-27
8,187,495,20,4679,29,2022-08-16
21,392,524,16,882,9,2023-01-10
16,83,255,43,4630,44,2022-05-06
14,21,145,25,780,26,2022-09-02
19,407,102,5,4817,13,2022-06-01
8,439,475,23,1305,75,2022-10-27
23,238,34,19,2749,65,2023-01-10
40,83,407,40,507,37,2022-05-24
11,278,374,7,2595,3,2022-12-11
17,253,23,32,2713,53,2023-02-03
31,347,511,12,461,73,2023-01-21
7,340,480,10,4140,37,2022-12-13
37,23,114,11,1979,56,2022-09-23
24,471,243,7,3975,38,2023-01-07
4,59,77,34,701,58,2022-05-21
40,91,137,21,4290,73,2022-06-15
2,298,286,42,1279,42,2022-08-26
20,218,239,7,4538,12,2022-05-14
14,250,135,7,660,76,2023-02-23
34,330,335,19,295,5,2022-07-16
12,522,155,11,2043,4,2023-01-22
32,105,388,20,9,42,2022-12-02
10,22,318,42,2616,75,2023-02-05
18,291,289,20,2582,19,2022-05-20
19,156,10,40,1673,51,2022-05-15
34,168,365,32,670,6,2022-05-19
28,187,263,35,4230,9,2023-02-06
1,113,192,44,1277,62,2023-04-27
16,89,257,2,2041,26,2023-01-03
0,432,112,15,2025,71,2023-01-02
38,220,131,36,448,48,2023-01-30
29,193,275,48,4590,38,2022-08-10
40,269,506,3,1606,10,2022-07-22
3,434,267,23,2108,82,2022-10-25
15,360,375,23,27,66,2022-08-14
1,127,187,3,846,4,2023-03-03
3,140,436,1,4353,20,2022-11-12
28,228,541,47,3129,40,2022-07-02
2,269,273,12,3296,9,2022-11-16
34,431,324,29,707,22,2023-04-18
26,19,518,48,4134,52,2023-01-30
0,306,287,7,4795,38,2022-06-14
20,156,61,17,4716,46,2022-09-18
8,151,307,22,4394,86,2023-04-16
18,141,546,11,3433,59,2023-01-25
5,248,300,38,675,59,2022-11-04
17,293,518,36,4096,83,2022-11-23
14,474,497,43,1758,71,2022-06-19
2,185,3,2,4723,98,2022-10-18
5,335,317,44,386,2,2023-04-11
18,439,196,27,2670,100,2023-01-08
5,298,290,46,3117,14,2023-03-02
31,309,199,6,2260,74,2023-04-27
15,447,203,48,3727,56,2022-06-03
39,107,523,16,1467,94,2022-06-18
32,351,435,28,425,8,2022-12-26
29,497,112,20,1261,37,2022-10-16
15,211,423,38,3212,49,2022-12-31
22,206,377,27,4563,8,2022-06-08
